"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"avonet",300,"bace","Migration","accuracy",20,0.756666666666667,0.0106604514056179,NA,NA
"avonet",300,"floor","Migration","accuracy",20,0.782777777777778,0.010306385033058,NA,NA
"avonet",300,"gnn_off","Migration","accuracy",20,0.776111111111111,0.00830990859737255,NA,NA
"avonet",300,"gnn_off_pure","Migration","accuracy",20,0.778333333333333,0.00791750021260715,NA,NA
"avonet",300,"gnn_on","Migration","accuracy",20,0.753333333333333,0.00779863535820803,NA,NA
"avonet",300,"gnn_on_full","Migration","accuracy",20,0.776111111111111,0.00799101997619259,NA,NA
"avonet",300,"rphylopars","Migration","accuracy",20,NA,NA,NA,NA
"avonet",300,"bace","Primary.Lifestyle","accuracy",20,0.695,0.00927785656723207,NA,NA
"avonet",300,"floor","Primary.Lifestyle","accuracy",20,0.582222222222222,0.00854601883608495,NA,NA
"avonet",300,"gnn_off","Primary.Lifestyle","accuracy",20,0.748333333333333,0.012337968677425,NA,NA
"avonet",300,"gnn_off_pure","Primary.Lifestyle","accuracy",20,0.757777777777778,0.00847731368438398,NA,NA
"avonet",300,"gnn_on","Primary.Lifestyle","accuracy",20,0.720555555555556,0.0118545166351215,NA,NA
"avonet",300,"gnn_on_full","Primary.Lifestyle","accuracy",20,0.748333333333333,0.012337968677425,NA,NA
"avonet",300,"rphylopars","Primary.Lifestyle","accuracy",20,NA,NA,NA,NA
"avonet",300,"bace","Trophic.Level","accuracy",20,0.730555555555556,0.00918636020277774,NA,NA
"avonet",300,"floor","Trophic.Level","accuracy",20,0.535,0.0083877366467886,NA,NA
"avonet",300,"gnn_off","Trophic.Level","accuracy",20,0.770555555555556,0.015904094470377,NA,NA
"avonet",300,"gnn_off_pure","Trophic.Level","accuracy",20,0.79,0.00776941906738042,NA,NA
"avonet",300,"gnn_on","Trophic.Level","accuracy",20,0.763333333333333,0.0147118743287117,NA,NA
"avonet",300,"gnn_on_full","Trophic.Level","accuracy",20,0.774444444444444,0.0153177308532474,NA,NA
"avonet",300,"rphylopars","Trophic.Level","accuracy",20,NA,NA,NA,NA
"bace_dgp",100,"bace","x3","accuracy",20,0.53,0.0255809688032389,NA,NA
"bace_dgp",300,"bace","x3","accuracy",20,0.527222222222222,0.0139029168923525,NA,NA
"bace_dgp",1000,"bace","x3","accuracy",20,0.512833333333333,0.00716666666666667,NA,NA
"bace_dgp",100,"floor","x3","accuracy",20,0.498333333333333,0.0205871418452568,NA,NA
"bace_dgp",300,"floor","x3","accuracy",20,0.501111111111111,0.0134135016789222,NA,NA
"bace_dgp",1000,"floor","x3","accuracy",20,0.517833333333333,0.00454525650817929,NA,NA
"bace_dgp",100,"gnn_off","x3","accuracy",20,0.528333333333333,0.0195377876485243,NA,NA
"bace_dgp",300,"gnn_off","x3","accuracy",20,0.51,0.0132183148189802,NA,NA
"bace_dgp",1000,"gnn_off","x3","accuracy",20,0.512833333333333,0.00535999367198719,NA,NA
"bace_dgp",100,"gnn_off_pure","x3","accuracy",20,0.54,0.021575381248622,NA,NA
"bace_dgp",300,"gnn_off_pure","x3","accuracy",20,0.492777777777778,0.00861700420874119,NA,NA
"bace_dgp",1000,"gnn_off_pure","x3","accuracy",20,0.511666666666667,0.00488164002736019,NA,NA
"bace_dgp",100,"gnn_on","x3","accuracy",20,0.528333333333333,0.0195377876485243,NA,NA
"bace_dgp",300,"gnn_on","x3","accuracy",20,0.51,0.0132183148189802,NA,NA
"bace_dgp",1000,"gnn_on","x3","accuracy",20,0.512833333333333,0.00535999367198719,NA,NA
"bace_dgp",100,"gnn_on_full","x3","accuracy",20,0.528333333333333,0.0195377876485243,NA,NA
"bace_dgp",300,"gnn_on_full","x3","accuracy",20,0.51,0.0132183148189802,NA,NA
"bace_dgp",1000,"gnn_on_full","x3","accuracy",20,0.512833333333333,0.00535999367198719,NA,NA
"bace_dgp",100,"rphylopars","x3","accuracy",20,NA,NA,NA,NA
"bace_dgp",300,"rphylopars","x3","accuracy",20,NA,NA,NA,NA
"bace_dgp",1000,"rphylopars","x3","accuracy",20,NA,NA,NA,NA
"avonet",300,"bace","Beak.Length_Culmen","zRMSE",20,0.498651973186508,0.0454380266841304,NA,NA
"avonet",300,"floor","Beak.Length_Culmen","zRMSE",20,0.858718769453032,0.0557878071878848,NA,NA
"avonet",300,"gnn_off","Beak.Length_Culmen","zRMSE",20,0.523387047586651,0.0422906984320962,0.972222222222222,0.00736586793231872
"avonet",300,"gnn_off_pure","Beak.Length_Culmen","zRMSE",20,0.523387047586651,0.0422906984320962,0.972222222222222,0.00736586793231872
"avonet",300,"gnn_on","Beak.Length_Culmen","zRMSE",20,0.576230113852303,0.0426043277166399,0.965555555555556,0.00805681579172283
"avonet",300,"gnn_on_full","Beak.Length_Culmen","zRMSE",20,0.531783704191115,0.0410161747425549,0.971111111111111,0.00815700387095331
"avonet",300,"rphylopars","Beak.Length_Culmen","zRMSE",20,0.398803867131101,0.0293736616572007,NA,NA
"bm_mixed",100,"bace","c1","zRMSE",20,0.349151520118543,0.0373160660309676,NA,NA
"ou_mixed",100,"bace","c1","zRMSE",20,0.524863441095865,0.0538613264668424,NA,NA
"bm_mixed",300,"bace","c1","zRMSE",20,0.155015898157014,0.0130954115634459,NA,NA
"ou_mixed",300,"bace","c1","zRMSE",20,0.260460144976193,0.0214970319249011,NA,NA
"bm_mixed",1000,"bace","c1","zRMSE",20,0.0923948392258772,0.00846532293611019,NA,NA
"ou_mixed",1000,"bace","c1","zRMSE",20,0.136891069130837,0.00986869315038975,NA,NA
"bm_mixed",100,"floor","c1","zRMSE",20,0.976677419251503,0.0317528942949991,NA,NA
"ou_mixed",100,"floor","c1","zRMSE",20,1.01164374336619,0.0382646928156008,NA,NA
"bm_mixed",300,"floor","c1","zRMSE",20,0.976761397773353,0.0168417656667163,NA,NA
"ou_mixed",300,"floor","c1","zRMSE",20,0.99333307786058,0.0167677670396845,NA,NA
"bm_mixed",1000,"floor","c1","zRMSE",20,0.996024263935277,0.0106235787354234,NA,NA
"ou_mixed",1000,"floor","c1","zRMSE",20,0.968372351261678,0.00774230872367744,NA,NA
"bm_mixed",100,"gnn_off","c1","zRMSE",20,0.282203441863262,0.039959236747541,0.903333333333333,0.0280871659105879
"ou_mixed",100,"gnn_off","c1","zRMSE",20,0.45443674558918,0.0407629695535475,0.906666666666667,0.0219781922749009
"bm_mixed",300,"gnn_off","c1","zRMSE",20,0.138195126593031,0.0135431789961562,0.971666666666667,0.00931280811902234
"ou_mixed",300,"gnn_off","c1","zRMSE",20,0.224695660893739,0.017943689281466,0.979444444444444,0.00675742317982151
"bm_mixed",1000,"gnn_off","c1","zRMSE",20,0.0835682591687281,0.00783191757610316,0.967,0.0063701607019306
"ou_mixed",1000,"gnn_off","c1","zRMSE",20,0.119512106122169,0.00839142994423471,0.971166666666667,0.00445428369941271
"bm_mixed",100,"gnn_off_pure","c1","zRMSE",20,0.265551973055394,0.0368261330944892,0.938333333333333,0.0178156577430841
"ou_mixed",100,"gnn_off_pure","c1","zRMSE",20,0.452637203948004,0.0407516549845941,0.906666666666667,0.0219781922749009
"bm_mixed",300,"gnn_off_pure","c1","zRMSE",20,0.138248153652285,0.0135470884793104,0.971666666666667,0.00931280811902234
