"dgp","n","arm","n_seeds","zrmse","zrmse_mcse","acc","acc_mcse","coverage"
"bm_mixed",1000,"gnn_off",20,0.0895459743701121,0.00348260607518606,0.959416666666667,0.00238561417055655,0.964166666666667
"bm_mixed",1000,"gnn_off_pure",20,0.0895459743701121,0.00348260607518606,0.95925,0.00238928835229433,0.964166666666667
"bm_mixed",1000,"rphylopars",20,0.0895503868008088,0.00346319629060468,NA,NA,NA
"bm_mixed",1000,"gnn_on_full",20,0.0896638766753519,0.00347753358661403,0.959416666666667,0.00238561417055655,0.963666666666667
"bm_mixed",1000,"bace",20,0.100764939945941,0.00399488848745274,0.952666666666667,0.00278991500425983,NA
"bm_mixed",1000,"gnn_on",20,0.103133699287856,0.00459952806932252,0.953,0.00236197954445441,0.951416666666667
"bm_mixed",1000,"floor",20,1.00215521246867,0.00522952524419539,0.393666666666667,0.00194063955214384,NA
"ou_mixed",100,"gnn_off_pure",20,0.408854505297203,0.0225350531476094,0.864166666666667,0.0169827483844653,0.9025
"ou_mixed",100,"rphylopars",20,0.416857663652483,0.0234890119610407,NA,NA,NA
"ou_mixed",100,"gnn_on_full",20,0.425017752917457,0.0249091964421719,0.864166666666667,0.01719661839463,0.8825
"ou_mixed",100,"gnn_off",20,0.430667325348604,0.0240636165791128,0.855,0.021968212016031,0.889583333333333
"ou_mixed",100,"bace",20,0.466896241546873,0.0257240673966454,0.841666666666667,0.0138126562863271,NA
"ou_mixed",100,"gnn_on",20,0.478262593809813,0.0198796648507545,0.845,0.0159081795136526,0.871666666666667
"ou_mixed",100,"floor",20,0.99881112681215,0.0121451510272538,0.36,0.0084119102419206,NA
"ou_mixed",300,"gnn_off_pure",20,0.214637090116575,0.0108598990697733,0.939166666666667,0.0036602593317371,0.975972222222222
"ou_mixed",300,"gnn_off",20,0.216239376609365,0.0109429415427986,0.939166666666667,0.0036602593317371,0.974861111111111
"ou_mixed",300,"rphylopars",20,0.216680671114886,0.0109821981166064,NA,NA,NA
"ou_mixed",300,"gnn_on_full",20,0.218155954542521,0.0107947565558997,0.939166666666667,0.0036602593317371,0.973472222222222
"ou_mixed",300,"gnn_on",20,0.246174389974387,0.0114394755216134,0.925,0.00502592369936501,0.965277777777778
"ou_mixed",300,"bace",20,0.249414519052564,0.0134803964872927,0.930277777777778,0.004759911515441,NA
"ou_mixed",300,"floor",20,1.00146043533063,0.00746143037045296,0.3825,0.00413535996973326,NA
"ou_mixed",1000,"gnn_off_pure",20,0.132134922104746,0.00578566439286186,0.959083333333333,0.00313785368221562,0.966583333333333
"ou_mixed",1000,"rphylopars",20,0.132432772300925,0.00571950480318281,NA,NA,NA
"ou_mixed",1000,"gnn_on_full",20,0.132574175600931,0.00582400998484427,0.959083333333333,0.00313785368221562,0.966208333333333
"ou_mixed",1000,"gnn_off",20,0.132734406539747,0.00583692746253558,0.959083333333333,0.00313785368221562,0.965958333333333
"ou_mixed",1000,"bace",20,0.149984712718392,0.00675745579412009,0.953916666666667,0.00314204416271761,NA
"ou_mixed",1000,"gnn_on",20,0.150697248656777,0.00708206253763313,0.951666666666667,0.00278624440685609,0.953083333333333
"ou_mixed",1000,"floor",20,0.994326623525096,0.00536343731982462,0.393916666666667,0.00248467525264593,NA
