"arm","trait","metric","value","coverage","dgp","n","seed","type"
"bace","Migration","accuracy",0.7,NA,"avonet",300,4,"ordinal"
"floor","Mass","zRMSE",2.81700490692581,NA,"avonet",300,4,"continuous"
"floor","Beak.Length_Culmen","zRMSE",0.748806290847035,NA,"avonet",300,4,"continuous"
"floor","Tarsus.Length","zRMSE",1.37178853025919,NA,"avonet",300,4,"continuous"
"floor","Wing.Length","zRMSE",1.14854096124676,NA,"avonet",300,4,"continuous"
"floor","Trophic.Level","accuracy",0.544444444444444,NA,"avonet",300,4,"categorical"
"floor","Primary.Lifestyle","accuracy",0.588888888888889,NA,"avonet",300,4,"categorical"
"floor","Migration","accuracy",0.677777777777778,NA,"avonet",300,4,"ordinal"
"gnn_on","Mass","zRMSE",0.572784699229482,0.966666666666667,"avonet",300,5,"continuous"
"gnn_on","Beak.Length_Culmen","zRMSE",0.783172423285138,0.988888888888889,"avonet",300,5,"continuous"
"gnn_on","Tarsus.Length","zRMSE",0.287495429938977,1,"avonet",300,5,"continuous"
"gnn_on","Wing.Length","zRMSE",0.771182907066855,0.944444444444444,"avonet",300,5,"continuous"
"gnn_on","Trophic.Level","accuracy",0.755555555555556,NA,"avonet",300,5,"categorical"
"gnn_on","Primary.Lifestyle","accuracy",0.733333333333333,NA,"avonet",300,5,"categorical"
"gnn_on","Migration","accuracy",0.733333333333333,NA,"avonet",300,5,"ordinal"
"gnn_on_full","Mass","zRMSE",0.552535945037324,0.977777777777778,"avonet",300,5,"continuous"
"gnn_on_full","Beak.Length_Culmen","zRMSE",0.788005221281689,1,"avonet",300,5,"continuous"
"gnn_on_full","Tarsus.Length","zRMSE",0.284301863308075,1,"avonet",300,5,"continuous"
"gnn_on_full","Wing.Length","zRMSE",0.651102524706158,0.966666666666667,"avonet",300,5,"continuous"
"gnn_on_full","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,5,"categorical"
"gnn_on_full","Primary.Lifestyle","accuracy",0.777777777777778,NA,"avonet",300,5,"categorical"
"gnn_on_full","Migration","accuracy",0.766666666666667,NA,"avonet",300,5,"ordinal"
"gnn_off","Mass","zRMSE",0.635310568053831,1,"avonet",300,5,"continuous"
"gnn_off","Beak.Length_Culmen","zRMSE",0.733636782097703,0.988888888888889,"avonet",300,5,"continuous"
"gnn_off","Tarsus.Length","zRMSE",0.321891431097443,1,"avonet",300,5,"continuous"
"gnn_off","Wing.Length","zRMSE",0.714547272240781,0.977777777777778,"avonet",300,5,"continuous"
"gnn_off","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,5,"categorical"
"gnn_off","Primary.Lifestyle","accuracy",0.777777777777778,NA,"avonet",300,5,"categorical"
"gnn_off","Migration","accuracy",0.766666666666667,NA,"avonet",300,5,"ordinal"
"gnn_off_pure","Mass","zRMSE",0.635310568053831,1,"avonet",300,5,"continuous"
"gnn_off_pure","Beak.Length_Culmen","zRMSE",0.733636782097703,0.988888888888889,"avonet",300,5,"continuous"
"gnn_off_pure","Tarsus.Length","zRMSE",0.321891431097443,1,"avonet",300,5,"continuous"
"gnn_off_pure","Wing.Length","zRMSE",0.714547272240781,0.977777777777778,"avonet",300,5,"continuous"
"gnn_off_pure","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,5,"categorical"
"gnn_off_pure","Primary.Lifestyle","accuracy",0.777777777777778,NA,"avonet",300,5,"categorical"
"gnn_off_pure","Migration","accuracy",0.766666666666667,NA,"avonet",300,5,"ordinal"
"freq","Mass","zRMSE",0.457061835389293,NA,"avonet",300,5,"continuous"
"freq","Beak.Length_Culmen","zRMSE",0.495420501424619,NA,"avonet",300,5,"continuous"
"freq","Tarsus.Length","zRMSE",0.186583620213129,NA,"avonet",300,5,"continuous"
"freq","Wing.Length","zRMSE",0.457328930845688,NA,"avonet",300,5,"continuous"
"freq","Trophic.Level","accuracy",0.777777777777778,NA,"avonet",300,5,"categorical"
"freq","Primary.Lifestyle","accuracy",0.744444444444444,NA,"avonet",300,5,"categorical"
"freq","Migration","accuracy",0.777777777777778,NA,"avonet",300,5,"ordinal"
"bace","Mass","zRMSE",0.527287161161073,NA,"avonet",300,5,"continuous"
"bace","Beak.Length_Culmen","zRMSE",0.572307212561843,NA,"avonet",300,5,"continuous"
"bace","Tarsus.Length","zRMSE",0.236303643213124,NA,"avonet",300,5,"continuous"
"bace","Wing.Length","zRMSE",0.529079537679063,NA,"avonet",300,5,"continuous"
"bace","Trophic.Level","accuracy",0.744444444444444,NA,"avonet",300,5,"categorical"
"bace","Primary.Lifestyle","accuracy",0.711111111111111,NA,"avonet",300,5,"categorical"
"bace","Migration","accuracy",0.8,NA,"avonet",300,5,"ordinal"
"floor","Mass","zRMSE",0.634924713888442,NA,"avonet",300,5,"continuous"
"floor","Beak.Length_Culmen","zRMSE",1.09969015044468,NA,"avonet",300,5,"continuous"
"floor","Tarsus.Length","zRMSE",0.432545626028948,NA,"avonet",300,5,"continuous"
"floor","Wing.Length","zRMSE",1.10412334117053,NA,"avonet",300,5,"continuous"
"floor","Trophic.Level","accuracy",0.533333333333333,NA,"avonet",300,5,"categorical"
"floor","Primary.Lifestyle","accuracy",0.577777777777778,NA,"avonet",300,5,"categorical"
"floor","Migration","accuracy",0.822222222222222,NA,"avonet",300,5,"ordinal"
"gnn_on","c1","zRMSE",0.536784307641608,0.966666666666667,"types_mixed",100,1,"continuous"
"gnn_on","c2","zRMSE",0.354845718295702,0.766666666666667,"types_mixed",100,1,"continuous"
"gnn_on","cnt","zRMSE",1.41589323632079,0.7,"types_mixed",100,1,"count"
"gnn_on","prp","zRMSE",0.570772797800453,0.866666666666667,"types_mixed",100,1,"proportion"
"gnn_on","bin","accuracy",0.933333333333333,NA,"types_mixed",100,1,"binary"
"gnn_on","ord","accuracy",0.7,NA,"types_mixed",100,1,"ordinal"
"gnn_on","cat3","accuracy",0.6,NA,"types_mixed",100,1,"categorical"
"gnn_on_full","c1","zRMSE",0.415692071206115,1,"types_mixed",100,1,"continuous"
"gnn_on_full","c2","zRMSE",0.333531359209837,0.8,"types_mixed",100,1,"continuous"
"gnn_on_full","cnt","zRMSE",1.41589323632079,0.7,"types_mixed",100,1,"count"
"gnn_on_full","prp","zRMSE",0.578505549734794,0.866666666666667,"types_mixed",100,1,"proportion"
"gnn_on_full","bin","accuracy",0.866666666666667,NA,"types_mixed",100,1,"binary"
"gnn_on_full","ord","accuracy",0.7,NA,"types_mixed",100,1,"ordinal"
"gnn_on_full","cat3","accuracy",0.633333333333333,NA,"types_mixed",100,1,"categorical"
"gnn_off","c1","zRMSE",0.415692066994325,1,"types_mixed",100,1,"continuous"
"gnn_off","c2","zRMSE",0.33353134979018,0.8,"types_mixed",100,1,"continuous"
"gnn_off","cnt","zRMSE",1.37142705354768,0.7,"types_mixed",100,1,"count"
"gnn_off","prp","zRMSE",0.578505546781931,0.866666666666667,"types_mixed",100,1,"proportion"
"gnn_off","bin","accuracy",0.866666666666667,NA,"types_mixed",100,1,"binary"
"gnn_off","ord","accuracy",0.7,NA,"types_mixed",100,1,"ordinal"
"gnn_off","cat3","accuracy",0.633333333333333,NA,"types_mixed",100,1,"categorical"
"gnn_off_pure","c1","zRMSE",0.415692066994325,1,"types_mixed",100,1,"continuous"
"gnn_off_pure","c2","zRMSE",0.33353134979018,0.8,"types_mixed",100,1,"continuous"
"gnn_off_pure","cnt","zRMSE",1.17160233869295,0.966666666666667,"types_mixed",100,1,"count"
"gnn_off_pure","prp","zRMSE",0.578505546781931,0.866666666666667,"types_mixed",100,1,"proportion"
"gnn_off_pure","bin","accuracy",0.866666666666667,NA,"types_mixed",100,1,"binary"
"gnn_off_pure","ord","accuracy",0.7,NA,"types_mixed",100,1,"ordinal"
"gnn_off_pure","cat3","accuracy",0.633333333333333,NA,"types_mixed",100,1,"categorical"
"freq","c1","zRMSE",0.423115357809162,NA,"types_mixed",100,1,"continuous"
"freq","c2","zRMSE",0.339478543873078,NA,"types_mixed",100,1,"continuous"
"freq","cnt","zRMSE",1.31465156793547,NA,"types_mixed",100,1,"count"
"freq","prp","zRMSE",0.60793379133232,NA,"types_mixed",100,1,"proportion"
"freq","bin","accuracy",0.866666666666667,NA,"types_mixed",100,1,"binary"
"freq","ord","accuracy",0.666666666666667,NA,"types_mixed",100,1,"ordinal"
"freq","cat3","accuracy",0.633333333333333,NA,"types_mixed",100,1,"categorical"
"bace","c1","zRMSE",0.499242702257509,NA,"types_mixed",100,1,"continuous"
"bace","c2","zRMSE",0.337229728164918,NA,"types_mixed",100,1,"continuous"
"bace","cnt","zRMSE",1.37142705354768,NA,"types_mixed",100,1,"count"
"bace","prp","zRMSE",0.628618111752693,NA,"types_mixed",100,1,"proportion"
"bace","bin","accuracy",0.8,NA,"types_mixed",100,1,"binary"
"bace","ord","accuracy",0.633333333333333,NA,"types_mixed",100,1,"ordinal"
"bace","cat3","accuracy",0.633333333333333,NA,"types_mixed",100,1,"categorical"
"floor","c1","zRMSE",1.08967470989832,NA,"types_mixed",100,1,"continuous"
"floor","c2","zRMSE",1.08672852206924,NA,"types_mixed",100,1,"continuous"
"floor","cnt","zRMSE",1.37419082295869,NA,"types_mixed",100,1,"count"
