"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"phylo_MAR","F3",1000,0.5,0.5,30,0,0.00794960812828722,0.00323081168246459,0.0893395969498911,0.144444444444444
"phylo_MAR","F1",100,1,0.5,30,0,0.0219706437444132,0.0128812181817602,0.291732672224158,0.375
"phylo_MAR","F2",100,1,0.5,30,0,-0.0336725185576424,0.0155572683878477,0.433377981309483,0.508333333333333
"phylo_MAR","F3",100,1,0.5,30,0,0.0252249253532522,0.0170957853660632,0.0645766879319511,0.0888888888888889
"phylo_MAR","F1",300,1,0.5,30,0,-0.00345704863566354,0.00267301410024298,0.261958220872695,0.35
"phylo_MAR","F2",300,1,0.5,30,0,-0.0482449972051682,0.00665470529254764,0.514313653824103,0.6
"phylo_MAR","F3",300,1,0.5,30,0,0.0173079106533774,0.00809541973454669,0.109795321637427,0.172222222222222
"phylo_MAR","F1",1000,1,0.5,30,0,-0.0018176908221286,0.000785960149713125,0.283793859649123,0.375
"phylo_MAR","F2",1000,1,0.5,30,0,-0.0283604733258931,0.003282913449205,0.529968323586745,0.608333333333333
"phylo_MAR","F3",1000,1,0.5,30,0,0.00111907386550496,0.00183990814046916,0.0745002484424569,0.127777777777778
"covariate_MAR","F1",100,0.2,0.1,30,0,-0.00722620239041991,0.00462056323326932,0.247543859649123,0.266666666666667
"covariate_MAR","F2",100,0.2,0.1,30,0,-0.0430739775284887,0.00976117703286857,0.327148692810458,0.35
"covariate_MAR","F3",100,0.2,0.1,30,0,-0.00744736530727663,0.0100349679145466,0.100283643371879,0.111111111111111
"covariate_MAR","F1",300,0.2,0.1,30,0,-0.00711543161346481,0.00210960314109878,0.318056513203572,0.383333333333333
"covariate_MAR","F2",300,0.2,0.1,30,0,-0.060440858207064,0.00564054412847251,0.567965399610136,0.6
"covariate_MAR","F3",300,0.2,0.1,30,0,0.00256334245305716,0.0041158705560629,0.107962962962963,0.127777777777778
"covariate_MAR","F1",1000,0.2,0.1,30,0,-0.0019324669837708,0.00102599888101829,0.192782651072125,0.233333333333333
"covariate_MAR","F2",1000,0.2,0.1,30,0,-0.0445450902975636,0.00338441309789471,0.64937865497076,0.675
"covariate_MAR","F3",1000,0.2,0.1,30,0,0.000917123989996715,0.00305681541119785,0.130915883986059,0.205555555555556
"covariate_MAR","F1",100,0.5,0.1,30,0,-0.00472015058415367,0.00882649666005227,0.220364567206672,0.316666666666667
"covariate_MAR","F2",100,0.5,0.1,30,0,-0.0521858685865843,0.00886355890393931,0.429287987124674,0.491666666666667
"covariate_MAR","F3",100,0.5,0.1,30,0,0.0174938680251523,0.0102324652387586,0.0973976608187134,0.105555555555556
"covariate_MAR","F1",300,0.5,0.1,30,0,-0.00282570571914855,0.00222399801141856,0.253135964912281,0.325
"covariate_MAR","F2",300,0.5,0.1,30,0,-0.0390838047458103,0.0051841749035968,0.56165921339296,0.641666666666667
"covariate_MAR","F3",300,0.5,0.1,30,0,0.0187721118325688,0.00576000230378048,0.128218810916179,0.161111111111111
