"job_id","confirm_cell_id","explore_cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","floor_fired","error"
154,4,52,31,"F2",1000,1,0.3,60431,"fixed_1",TRUE,239.121,0.448495000764972,0.465079422112115,-0.0165844213471436,0.775,FALSE,NA
155,0,42,32,"F2",300,1,0.1,60032,"fixed_1",TRUE,67.564,0.604448173358202,0.578190216176078,0.0262579571821233,0.4125,FALSE,NA
156,1,43,32,"F2",300,1,0.3,60132,"fixed_1",TRUE,60.287,0.539650930808503,0.525361100219464,0.0142898305890395,0.369078947368421,FALSE,NA
157,2,44,32,"F2",300,1,0.5,60232,"fixed_1",TRUE,61.62,0.62307185870515,0.604096900583192,0.0189749581219577,0.25,TRUE,NA
158,3,51,32,"F2",1000,1,0.1,60332,"fixed_1",TRUE,339.087,0.499030044522479,0.525476742564251,-0.026446698041772,0.5,FALSE,NA
159,4,52,32,"F2",1000,1,0.3,60432,"fixed_1",TRUE,258.736,0.595031406940423,0.609706412551462,-0.0146750056110388,0.4625,FALSE,NA
160,0,42,33,"F2",300,1,0.1,60033,"fixed_1",TRUE,64.74,0.597122297933384,0.62327874306011,-0.0261564451267254,0.486842105263158,FALSE,NA
161,1,43,33,"F2",300,1,0.3,60133,"fixed_1",TRUE,61.595,0.512977250710922,0.530010878199511,-0.0170336274885889,0.25,FALSE,NA
162,2,44,33,"F2",300,1,0.5,60233,"fixed_1",TRUE,60.661,0.758111725498939,0.748211207075144,0.00990051842379502,0.25,TRUE,NA
163,3,51,33,"F2",1000,1,0.1,60333,"fixed_1",TRUE,341.822,0.592416317341609,0.625737318377054,-0.0333210010354449,0.475,FALSE,NA
164,4,52,33,"F2",1000,1,0.3,60433,"fixed_1",TRUE,237.296,0.552147401410929,0.562226775212127,-0.0100793738011975,0.2625,FALSE,NA
165,0,42,34,"F2",300,1,0.1,60034,"fixed_1",TRUE,66.288,0.456332505637047,0.480477577225248,-0.024145071588201,0.4875,FALSE,NA
