"job_id","cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","floor_fired"
232,70,3,"F2",1000,0.5,0.5,17003,"bayes",TRUE,0.861404145921018,0.863609159412084,-0.00220501349106605,0.1,TRUE
233,71,3,"F3",1000,0.5,0.5,17103,"bayes",TRUE,0.70533843182069,0.708115250154506,-0.00277681833381593,0.333333333333333,FALSE
243,0,4,"F1",100,0.2,0.1,10004,"bayes",TRUE,0.847238156390596,0.902767703320753,-0.0555295469301568,0.25,TRUE
244,1,4,"F2",100,0.2,0.1,10104,"bayes",TRUE,0.815254655086957,0.870349795670709,-0.055095140583752,0.75,TRUE
245,2,4,"F3",100,0.2,0.1,10204,"bayes",TRUE,0.716299328608544,0.68480687289137,0.0314924557171733,0.333333333333333,TRUE
246,3,4,"F1",300,0.2,0.1,10304,"bayes",TRUE,0.898023698987362,0.929246844116367,-0.031223145129005,0.410714285714286,FALSE
247,4,4,"F2",300,0.2,0.1,10404,"bayes",TRUE,1.20406638506943,1.24354960377716,-0.0394832187077379,0.25,TRUE
248,5,4,"F3",300,0.2,0.1,10504,"bayes",TRUE,0.696091267352964,0.705723720523273,-0.00963245317030892,0.166666666666667,TRUE
249,6,4,"F1",1000,0.2,0.1,10604,"bayes",TRUE,0.987522351277231,0.992571479971182,-0.00504912869395102,0.25,FALSE
250,7,4,"F2",1000,0.2,0.1,10704,"bayes",TRUE,0.992612414405342,1.04183818047392,-0.049225766068574,0.75,FALSE
251,8,4,"F3",1000,0.2,0.1,10804,"bayes",TRUE,0.755545764056393,0.736677839300136,0.0188679247562571,0,TRUE
252,9,4,"F1",100,0.5,0.1,10904,"bayes",TRUE,0.863471264719976,0.837238330684266,0.0262329340357093,0.7375,FALSE
253,10,4,"F2",100,0.5,0.1,11004,"bayes",TRUE,0.777452889739401,0.855637256440146,-0.0781843667007455,0.75,TRUE
254,11,4,"F3",100,0.5,0.1,11104,"bayes",TRUE,0.623208607977594,0.563780121549326,0.0594284864282684,0.333333333333333,TRUE
255,12,4,"F1",300,0.5,0.1,11204,"bayes",TRUE,0.874671628656722,0.876104890158616,-0.0014332615018946,0.3,FALSE
