"family","n_species","phylo_lambda","miss_frac","n_rep","n_ok","mean_delta","mcse","z_ratio","rel_improve","mean_r_cal_gnn","frac_gate_open","gnn_res_pass"
"F1",1000,0.5,0.1,30,30,-0.00109947403935076,0.000676958898376852,1.62413706649986,0.0013009977457792,0.119495614035088,0.566666666666667,FALSE
"F2",1000,0.5,0.1,30,30,-0.0271340569304353,0.00227560685748073,11.9238772906823,0.0302965665483867,0.512234848484848,1,TRUE
"F3",1000,0.5,0.1,30,30,0.00407544948571901,0.00282182265633373,1.44426138069714,-0.00616763039372957,0.0907489209133946,0.733333333333333,FALSE
"F1",100,0.2,0.3,30,30,-0.0131444103128624,0.00492694813867797,2.66786049759179,0.0131444950343944,0.1746875,0.533333333333333,FALSE
"F2",100,0.2,0.3,30,30,-0.0177905845979941,0.00635789577045349,2.79818751994501,0.0184575645379226,0.206122685185185,0.666666666666667,FALSE
"F3",100,0.2,0.3,30,30,-0.0126278817457213,0.0122045557122245,1.0346859028283,0.016979798692061,0.055,0.266666666666667,FALSE
"F1",300,0.2,0.3,30,30,-0.000198144425896173,0.00329107435489949,0.0602066087024717,0.000207378381210452,0.262328042328042,0.7,FALSE
"F2",300,0.2,0.3,30,30,-0.0381398718714876,0.00579519449289703,6.58129281393996,0.0390343695344673,0.467072440087146,0.9,TRUE
"F3",300,0.2,0.3,30,30,0.0086679603458795,0.00690064710675503,1.25610833473783,-0.0117324924976553,0.0885890652557319,0.5,FALSE
"F1",1000,0.2,0.3,30,30,-0.0018968757057729,0.00108704366541628,1.74498574999423,0.00197059572253445,0.227337962962963,0.7,FALSE
"F2",1000,0.2,0.3,30,30,-0.0310199432624038,0.00291324408080015,10.6479039867761,0.0319953098937629,0.58931712962963,1,TRUE
"F3",1000,0.2,0.3,30,30,-0.000406647099015504,0.00302185863066271,0.134568538345662,0.000551631678308935,0.0719314489928525,0.566666666666667,FALSE
"F1",100,0.5,0.3,30,30,0.00189359558337885,0.00918177731077344,0.206234100358435,-0.00217224423667603,0.309347587719298,0.8,FALSE
"F2",100,0.5,0.3,30,30,-0.0383749973692913,0.0112014234072155,3.4259036529743,0.040578954006307,0.400501770152505,0.9,TRUE
"F3",100,0.5,0.3,30,30,0.0280909482780928,0.0137975552741335,2.03593663659789,-0.0397202915069775,0.085943125788327,0.466666666666667,FALSE
"F1",300,0.5,0.3,30,30,-0.000822095596490243,0.00294966330391227,0.278708283552181,0.000944573744902149,0.275115740740741,0.833333333333333,FALSE
"F2",300,0.5,0.3,30,30,-0.0258950448559798,0.00565984019897462,4.57522543846223,0.0290075743906853,0.498080390613285,1,TRUE
"F3",300,0.5,0.3,30,30,0.00881113730439859,0.00666691631745955,1.32162110409631,-0.0131803503820053,0.0627287581699346,0.366666666666667,FALSE
"F1",1000,0.5,0.3,30,30,-0.000911956623588446,0.000582170612945948,1.56647656770871,0.00106982548487212,0.0851973684210526,0.366666666666667,FALSE
"F2",1000,0.5,0.3,30,30,-0.0127220853238024,0.00294412212452172,4.3211812505465,0.014443054508375,0.37272475589426,0.9,FALSE
"F3",1000,0.5,0.3,30,30,0.00422056123911068,0.00311308061976107,1.35575070312012,-0.0063162933436865,0.0889181286549708,0.633333333333333,FALSE
"F1",100,0.2,0.5,30,30,-0.00720187910815145,0.00681307930875832,1.05706667745572,0.00783427601788189,0.162092267706303,0.566666666666667,FALSE
"F2",100,0.2,0.5,30,30,-0.0169402107817924,0.00794276345953979,2.13278550571037,0.018261587496661,0.166458333333333,0.533333333333333,FALSE
"F3",100,0.2,0.5,30,30,-0.012866930624255,0.0163348108702157,0.787700006231238,0.0174040381473376,0.0382352941176471,0.233333333333333,FALSE
"F1",300,0.2,0.5,30,30,-0.00633122434572026,0.00238150901869872,2.65849270190029,0.00661388531950661,0.224841174906964,0.666666666666667,FALSE
"F2",300,0.2,0.5,30,30,-0.0212317399427354,0.0052337870613242,4.05666865960793,0.0220866109644387,0.362708333333333,0.833333333333333,TRUE
"F3",300,0.2,0.5,30,30,0.00834899174244951,0.00793030099190699,1.05279632525547,-0.0113949919106166,0.0759722222222222,0.5,FALSE
"F1",1000,0.2,0.5,30,30,0.000342809847357424,0.00148629381940149,0.230647428444175,-0.000362785749158599,0.156127450980392,0.5,FALSE
"F2",1000,0.2,0.5,30,30,-0.0192552955401545,0.00302188754958349,6.37194310648935,0.0197895663778894,0.460151540710751,0.9,FALSE
"F3",1000,0.2,0.5,30,30,0.00436913182566765,0.00376332405784606,1.16097677439139,-0.00590384928956702,0.081374269005848,0.466666666666667,FALSE
"F1",100,0.5,0.5,30,30,0.0131245069089278,0.00790457595673862,1.66036824502132,-0.0143751045849548,0.264343323586745,0.733333333333333,FALSE
"F2",100,0.5,0.5,30,30,0.00652734414787172,0.00879671558349607,0.742020596882543,-0.00753146600807139,0.22471601005053,0.633333333333333,FALSE
"F3",100,0.5,0.5,30,30,0.00917467507470131,0.0142290444886492,0.644785043860121,-0.0128391624983602,0.0567483660130719,0.3,FALSE
"F1",300,0.5,0.5,30,30,0.00757365392513468,0.0044784049330257,1.69114987108094,-0.00866354198615159,0.266287553032909,0.7,FALSE
"F2",300,0.5,0.5,30,30,-0.0080558687896601,0.0047403861548995,1.69941193110056,0.00912261789813039,0.302759431257883,0.766666666666667,FALSE
"F3",300,0.5,0.5,30,30,0.00771481553924482,0.00517390305895757,1.49110167920293,-0.011016744714455,0.0961955815464587,0.766666666666667,FALSE
"F1",1000,0.5,0.5,30,30,0.00189113428564385,0.00101116911824112,1.87024529480625,-0.00219508690803457,0.094849537037037,0.4,FALSE
"F2",1000,0.5,0.5,30,30,-0.00880631947157043,0.00182902133082869,4.81477133324654,0.010109532468725,0.35562048503612,0.9,FALSE
"F3",1000,0.5,0.5,30,30,0.011506067650605,0.00424181145447284,2.7125363241858,-0.0172329162239819,0.0800186809616634,0.533333333333333,FALSE
