"merge_key","family","n_species","phylo_lambda","miss_frac","mean_delta_fixed1","mcse_fixed1","z_ratio_fixed1","rel_improve_fixed1","g4_explore_pass","mean_delta_bayes","mcse_bayes","z_ratio_bayes","rel_improve_bayes","gnn_res_pass","mean_r_cal_gnn","frac_gate_open","closed","retained","delta_attenuation"
"F1|1000|0.5|0.3","F1",1000,0.5,0.3,-0.00107575073511188,0.000715835777836252,1.50278984149625,0.0012638221359671,FALSE,-0.000911956623588446,0.000582170612945948,1.56647656770871,0.00106982548487212,FALSE,0.0851973684210526,0.366666666666667,FALSE,FALSE,0.000163794111523434
"F1|1000|0.5|0.5","F1",1000,0.5,0.5,0.00283204687565858,0.00143132522013765,1.97861872047935,-0.00329483597865539,FALSE,0.00189113428564385,0.00101116911824112,1.87024529480625,-0.00219508690803457,FALSE,0.094849537037037,0.4,FALSE,FALSE,-0.000940912590014733
"F1|300|0.2|0.1","F1",300,0.2,0.1,-0.00638510698439203,0.00260005122360983,2.45576199669141,0.00663490125934556,FALSE,-0.00672754475584187,0.00264980632257269,2.53888169053432,0.00697696393044859,FALSE,0.353663063909774,0.866666666666667,FALSE,FALSE,-0.000342437771449841
"F1|300|0.2|0.3","F1",300,0.2,0.3,0.000411130888868728,0.00367834105079629,0.111770736642195,-0.000432143239448458,FALSE,-0.000198144425896173,0.00329107435489949,0.0602066087024717,0.000207378381210452,FALSE,0.262328042328042,0.7,FALSE,FALSE,-0.000609275314764901
"F1|300|0.2|0.5","F1",300,0.2,0.5,-0.00330518643312207,0.00340930307398727,0.969461019274114,0.00345327706804327,FALSE,-0.00633122434572026,0.00238150901869872,2.65849270190029,0.00661388531950661,FALSE,0.224841174906964,0.666666666666667,FALSE,FALSE,-0.00302603791259819
"F1|300|0.5|0.1","F1",300,0.5,0.1,-0.009455815628011,0.00235532855878945,4.01464822932004,0.0110133205155245,FALSE,-0.00887724103071156,0.00207592373736034,4.27628475504573,0.010314250756544,FALSE,0.326536664373352,0.9,FALSE,FALSE,0.000578574597299443
"F1|300|0.5|0.3","F1",300,0.5,0.3,-6.3122125633041e-05,0.00291043945628548,0.0216881768479053,7.28994347322055e-05,FALSE,-0.000822095596490243,0.00294966330391227,0.278708283552181,0.000944573744902149,FALSE,0.275115740740741,0.833333333333333,FALSE,FALSE,-0.000758973470857202
"F1|300|0.5|0.5","F1",300,0.5,0.5,0.00814954746516942,0.00511339295122244,1.59376514633422,-0.00939045428518374,FALSE,0.00757365392513468,0.0044784049330257,1.69114987108094,-0.00866354198615159,FALSE,0.266287553032909,0.7,FALSE,FALSE,-0.000575893540034738
"F2|100|0.2|0.1","F2",100,0.2,0.1,-0.0525740600355003,0.00983065664132633,5.34797032931537,0.0543486748913767,TRUE,-0.0519521627984129,0.010335531492841,5.02655938249507,0.0534509333917693,TRUE,0.365713141025641,0.833333333333333,FALSE,TRUE,0.00062189723708736
"F2|100|0.2|0.3","F2",100,0.2,0.3,-0.0134489922254876,0.005738154616465,2.34378352003572,0.0139343581973245,FALSE,-0.0177905845979941,0.00635789577045349,2.79818751994501,0.0184575645379226,FALSE,0.206122685185185,0.666666666666667,FALSE,FALSE,-0.00434159237250649
"F2|100|0.2|0.5","F2",100,0.2,0.5,-0.0126490876874966,0.00735103193125537,1.72072272380082,0.0137920710760539,FALSE,-0.0169402107817924,0.00794276345953979,2.13278550571037,0.018261587496661,FALSE,0.166458333333333,0.533333333333333,FALSE,FALSE,-0.00429112309429578
"F2|100|0.5|0.1","F2",100,0.5,0.1,-0.0657471531392825,0.0111618872161887,5.89032588001121,0.0718289133486612,TRUE,-0.0707030625975187,0.00931653643168376,7.58898579058534,0.0773573566831949,TRUE,0.49048807917229,0.966666666666667,FALSE,TRUE,-0.00495590945823619
"F2|100|0.5|0.3","F2",100,0.5,0.3,-0.0326784662005364,0.0103922632650865,3.14449945762266,0.0345660719865708,TRUE,-0.0383749973692913,0.0112014234072155,3.4259036529743,0.040578954006307,TRUE,0.400501770152505,0.9,FALSE,TRUE,-0.00569653116875491
