"method","trait","type","metric","value","n_test","scenario","rep"
"baseline","cat_trait","categorical","accuracy_B",0,5,"mixed",1
"baseline","cat_trait","categorical","accuracy_C",0.666666666666667,12,"mixed",1
"pigauto","cont1","continuous","rmse",0.733847580065638,29,"mixed",2
"pigauto","cont1","continuous","pearson_r",0.36784816809985,29,"mixed",2
"pigauto","cont1","continuous","mae",0.562264376793055,29,"mixed",2
"pigauto","cont1","continuous","conformal_coverage_95",0.896551724137931,29,"mixed",2
"pigauto","cont2","continuous","rmse",0.491595342437261,29,"mixed",2
"pigauto","cont2","continuous","pearson_r",0.895320207734287,29,"mixed",2
"pigauto","cont2","continuous","mae",0.378634140451455,29,"mixed",2
"pigauto","cont2","continuous","conformal_coverage_95",0.96551724137931,29,"mixed",2
"pigauto","binary_trait","binary","accuracy",0.666666666666667,27,"mixed",2
"pigauto","binary_trait","binary","brier",0.210428145891501,27,"mixed",2
"pigauto","cat_trait","categorical","accuracy",0.428571428571429,28,"mixed",2
"pigauto","cat_trait","categorical","accuracy_A",1,10,"mixed",2
"pigauto","cat_trait","categorical","accuracy_B",0,6,"mixed",2
"pigauto","cat_trait","categorical","accuracy_C",0.166666666666667,12,"mixed",2
"baseline","cont1","continuous","rmse",0.787435683124802,29,"mixed",2
"baseline","cont1","continuous","pearson_r",0.360926390076006,29,"mixed",2
"baseline","cont1","continuous","mae",0.557397548401323,29,"mixed",2
"baseline","cont2","continuous","rmse",0.491595332228886,29,"mixed",2
"baseline","cont2","continuous","pearson_r",0.895320211875921,29,"mixed",2
"baseline","cont2","continuous","mae",0.378634131235219,29,"mixed",2
"baseline","binary_trait","binary","accuracy",0.666666666666667,27,"mixed",2
"baseline","binary_trait","binary","brier",0.210428146345154,27,"mixed",2
"baseline","cat_trait","categorical","accuracy",0.642857142857143,28,"mixed",2
"baseline","cat_trait","categorical","accuracy_A",0.8,10,"mixed",2
"baseline","cat_trait","categorical","accuracy_B",0,6,"mixed",2
"baseline","cat_trait","categorical","accuracy_C",0.833333333333333,12,"mixed",2
