"set","tag","n","lambda","rho","seed","converged","n_attempts","drift","ess_min","ess_med","ess_frac_low","input_fix"
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s126",300,0.3,0,126,FALSE,1,0.307692307692308,3.57331795986593,1600,0.0227835562159485,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s127",300,0.3,0,127,FALSE,1,0.673831356696603,3.1847178866033,1600,0.0133729569093611,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s128",300,0.3,0,128,FALSE,1,1.8629318744301,1.28501333834902,1600,0.0950965824665676,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s129",300,0.3,0,129,FALSE,1,0.225806451612903,3.68204787190508,1600,0.011887072808321,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s130",300,0.3,0,130,FALSE,1,4.33628730364145,39.7615843470601,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s131",300,0.3,0,131,TRUE,1,0.300985556920169,2.64841446418151,1600,0.122337790985636,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s132",300,0.3,0,132,FALSE,1,1.2,2.9156366664689,1600,0.0955918771669143,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s133",300,0.3,0,133,FALSE,1,1.04752075936311,2.17089518272807,1600,0.0579494799405646,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s134",300,0.3,0,134,FALSE,1,0.911740386747477,1.71965804074761,1600,0.0668647845468053,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s135",300,0.3,0,135,FALSE,1,2.52234212367707,2.47489693877802,1600,0.105002476473502,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s136",300,0.3,0,136,FALSE,1,0.8,32.353230807372,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s137",300,0.3,0,137,FALSE,1,1,1.16426121686014,1600,0.0737989103516592,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s138",300,0.3,0,138,FALSE,1,0.57462476284939,1.61552042711155,1600,0.033680039623576,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s139",300,0.3,0,139,FALSE,1,0.333333333333333,1.58183795319542,1600,0.0485388806339772,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s140",300,0.3,0,140,FALSE,1,0.777777777777778,1.6642292103554,1600,0.0331847449232293,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s141",300,0.3,0,141,TRUE,1,0.486126106458279,39.4698029114894,1600,0.00842000990589401,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s142",300,0.3,0,142,FALSE,1,0.582401984928473,1.95855610688815,1600,0.099554234769688,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s143",300,0.3,0,143,FALSE,1,1111111.11111111,1.48728850666347,1600,0.106488360574542,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s144",300,0.3,0,144,FALSE,1,0.978802903738674,36.314552001559,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s145",300,0.3,0,145,TRUE,1,0.375,1.01264899680618,1600,0.0812283308568598,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s146",300,0.3,0,146,FALSE,1,4.01013898337379,1.23224224021278,1600,0.0326894502228826,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s147",300,0.3,0,147,FALSE,1,0.153846153846154,48.7331245838995,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s148",300,0.3,0,148,FALSE,1,0.528428657462987,1.20071682132122,1600,0.0648836057454185,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s149",300,0.3,0,149,FALSE,1,0.222222222222222,46.1218209836174,1600,0.00742942050520059,""
