"n","lambda","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,1,"bace","ord",356,0,44,0.871457553058677,0.00407305189781169,0.193428838951311,0.00546076956905001,0.10479556803995,0.00239293920060953,0.974516229712859,0.00173290819084476,1.52350187265918,0.0122469931935282,0.133629837702871,0.00434617500015285,0.367415730337079,0.0103106349441613,0
100,1,"bace_chain","bin",320,32,48,0.93765625,0.00329237500934699,0.0989260416666667,0.00456047165288746,0.0693125,0.00192067148670906,0.9875,0.00139583771970177,1.28760416666667,0.00771246914875616,NA,NA,0.537083333333333,0.00875994608125924,0
100,1,"bace_chain","cat3",339,8,53,0.894804981973124,0.00430936258995852,0.161926481412854,0.00580787734685485,0.0913285516154887,0.0022617016770747,0.979547689282203,0.00162817842006121,1.53372664700098,0.0129424474518193,NA,NA,0.431071779744346,0.00890599237588978,6064
100,1,"bace_chain","ord",347,0,53,0.872926673070765,0.00415936606878894,0.191892891450528,0.00545328892582857,0.103392571245597,0.00228980440602,0.978113992955492,0.00156830000330759,1.56551392891451,0.0126610514418899,0.130915786103106,0.00434836271151003,0.353218059558117,0.0102774573127919,0
100,1,"bace_resid","bin",328,32,40,0.932367886178862,0.00360207253208048,0.104362804878049,0.00508347439992059,0.0692784552845528,0.0023419459066696,0.983943089430894,0.00164082753520103,1.24603658536585,0.00741074228289185,NA,NA,0.584146341463415,0.00878379299227864,0
100,1,"bace_resid","cat3",348,8,44,0.890900383141762,0.00426191938126438,0.166621873027697,0.00595136061947013,0.0925843712391122,0.00251530173651182,0.976772030651341,0.00175769324061497,1.497030651341,0.0129784833435263,NA,NA,0.441379310344828,0.00910500383034411,5748
100,1,"bace_resid","ord",356,0,44,0.871457553058677,0.00407305189781169,0.193428838951311,0.00546076956905001,0.10479556803995,0.00239293920060953,0.974516229712859,0.00173290819084476,1.52350187265918,0.0122469931935282,0.133629837702871,0.00434617500015285,0.367415730337079,0.0103106349441613,0
100,1,"freqA","bin",368,32,0,0.951358695652174,0.00298616723164058,0.0849438405797101,0.00474739855179716,0.0584963768115942,0.00214310976026535,0.983333333333333,0.00163265457231276,1.20606884057971,0.00787436145417801,NA,NA,0.596557971014493,0.00962396186763097,0
100,1,"freqA","cat3",392,8,0,0.912542517006803,0.00386321671885263,0.142343537414966,0.00535864707312841,0.089655612244898,0.00227508778845929,0.976445578231293,0.00172771006632446,1.46011904761905,0.0127855496329299,NA,NA,0.399659863945578,0.0103405286525234,0
100,1,"freqA","ord",400,0,0,0.884861111111111,0.00422407197422605,0.181370833333333,0.00550452735346641,0.103052777777778,0.00228479842145787,0.972861111111111,0.00161951244344482,1.59658333333333,0.0142375120548736,0.117958333333333,0.00436766600944851,0.328833333333333,0.00984307038127694,0
100,1,"freqA_er","bin",368,32,0,0.948822463768116,0.0031171252066516,0.0846046195652174,0.00488101605518931,0.0529211956521739,0.00241821196511855,0.978532608695652,0.0018508016376946,1.14891304347826,0.00780341788141598,NA,NA,0.698278985507246,0.0106142000139132,0
100,1,"freqA_er","cat3",392,8,0,0.915731292517007,0.00378879327661045,0.1431875,0.00587512134508062,0.0812542517006803,0.00274391698608689,0.961607142857143,0.00205266057560406,1.29540816326531,0.0123772282817565,NA,NA,0.592942176870748,0.0105203513726594,0
100,1,"freqA_er","ord",400,0,0,0.892958333333333,0.00390190509542609,0.172742083333333,0.00559594709616466,0.0962041666666667,0.00250559870687788,0.962902777777778,0.00189541139960247,1.41291666666667,0.0121598633717994,0.110875,0.0040958258385383,0.49025,0.00875451011584434,0
100,1,"freqB","bin",368,32,0,0.94981884057971,0.00304833597713325,0.0844442934782609,0.00483082482289478,0.0514719202898551,0.00235517183877698,0.978532608695652,0.00178748694617379,1.14574275362319,0.00790626507194691,NA,NA,0.711322463768116,0.0109936193367318,0
100,1,"freqB","cat3",392,8,0,0.912712585034014,0.00384109026973288,0.141643282312925,0.00574007665338806,0.0801913265306122,0.00272479811674303,0.969175170068027,0.00193693518053786,1.28732993197279,0.0105316938474394,NA,NA,0.579931972789116,0.0107657253011262,0
100,1,"freqB","ord",400,0,0,0.890916666666667,0.00409465550488728,0.174525416666667,0.00577134934082582,0.0928583333333333,0.00260526609206634,0.961180555555556,0.00205854967481196,1.38191666666667,0.0119468322009637,0.111958333333333,0.00424325547612263,0.516416666666667,0.0103408822171631,0
100,1,"freqB_er","bin",368,32,0,0.948731884057971,0.00303749190303038,0.0850833333333333,0.00487932198431598,0.050661231884058,0.00238402388044272,0.978532608695652,0.001859670632666,1.13913043478261,0.00767546481862356,NA,NA,0.716485507246377,0.0106203874062121,0
100,1,"freqB_er","cat3",392,8,0,0.914455782312925,0.00381033771277111,0.144607993197279,0.00590715091586217,0.0818920068027211,0.00281826086863257,0.960459183673469,0.00211559542671168,1.28384353741497,0.01164056746912,NA,NA,0.60671768707483,0.010312841952724,0
100,1,"freqB_er","ord",400,0,0,0.893666666666667,0.00388819662056566,0.171483333333333,0.0057707593852046,0.0931166666666667,0.00266824971286692,0.959069444444444,0.00210316043313691,1.3545,0.0119565693933051,0.109875,0.00404491661529292,0.537583333333333,0.00938534911002329,0
100,1,"mode_floor","bin",368,32,0,0.71929347826087,0.00874224536350082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1,"mode_floor","cat3",392,8,0,0.606122448979592,0.00912369524457338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1,"mode_floor","ord",400,0,0,0.538,0.0087897800836044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,0.3,"bace","bin",400,0,0,0.714888888888889,0.00336414332593906,0.401489027777778,0.00418784349173645,0.121459722222222,0.00231390325862727,0.957222222222222,0.00136168001682023,1.69722222222222,0.00690631414260576,NA,NA,0.174666666666667,0.00568034724946741,0
300,0.3,"bace","cat3",400,0,0,0.545097222222222,0.00430941041354971,0.582644447888049,0.00438842115998736,0.138037272579597,0.00222646559964691,0.940666666666667,0.00141359534603979,2.35894444444444,0.0103626643455962,NA,NA,0.0207777777777778,0.00236835710589539,11
300,0.3,"bace","ord",400,0,0,0.438532407407407,0.00396262818771391,0.681879583333333,0.00374270544736677,0.147478703703704,0.00238323747164831,0.91450462962963,0.00165884703900603,2.91963888888889,0.0113156944404475,0.764097222222222,0.00667239634845788,0.016,0.00121058483426575,0
300,0.3,"bace_chain","bin",400,0,0,0.718291666666667,0.00333921026237744,0.3788725,0.0035834230839088,0.0925555555555556,0.0016334525802453,0.975527777777778,0.000962088653173328,1.76869444444444,0.00662918064322395,NA,NA,0.125444444444444,0.00503156594283765,0
300,0.3,"bace_chain","cat3",400,0,0,0.542680555555555,0.00451324064063997,0.571093549693491,0.00419774689685655,0.121160074819401,0.00204568476886057,0.953569444444444,0.00119285410080777,2.42769444444444,0.0107734827350431,NA,NA,0.0169722222222222,0.00237202173858391,6
300,0.3,"bace_chain","ord",400,0,0,0.439462962962963,0.00389658367815109,0.667852916666667,0.00345216815693916,0.124490740740741,0.00191716390913061,0.935921296296296,0.0014395058636064,3.06930555555556,0.0124241078528493,0.758828703703704,0.00637296842073822,0.0113333333333333,0.00108925879860774,0
300,0.3,"bace_resid","bin",400,0,0,0.714888888888889,0.00336414332593906,0.401489027777778,0.00418784349173645,0.121459722222222,0.00231390325862727,0.957222222222222,0.00136168001682023,1.69722222222222,0.00690631414260576,NA,NA,0.174666666666667,0.00568034724946741,0
300,0.3,"bace_resid","cat3",400,0,0,0.545097222222222,0.00430941041354971,0.582644447888049,0.00438842115998736,0.138037272579597,0.00222646559964691,0.940666666666667,0.00141359534603979,2.35894444444444,0.0103626643455962,NA,NA,0.0207777777777778,0.00236835710589539,11
300,0.3,"bace_resid","ord",400,0,0,0.438532407407407,0.00396262818771391,0.681879583333333,0.00374270544736677,0.147478703703704,0.00238323747164831,0.91450462962963,0.00165884703900603,2.91963888888889,0.0113156944404475,0.764097222222222,0.00667239634845788,0.016,0.00121058483426575,0
300,0.3,"freqA","bin",400,0,0,0.602694444444444,0.00485518316200525,0.482085699375411,0.00332612486207064,0.0970402777777778,0.0018414785860704,0.994611111111111,0.000615600833555581,1.97544444444444,0.00337419950729753,NA,NA,0.00877777777777778,0.00189214586436375,0
300,0.3,"freqA","cat3",400,0,0,0.434111111111111,0.00571793739102428,0.659345602399737,0.00392833671369718,0.126007051282051,0.00220812928107676,0.970569444444444,0.00147246438927146,2.81786111111111,0.011201089914916,NA,NA,0.00594444444444444,0.00124366335334954,0
