"n","lambda","rho","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,0.3,0,"freqA_er","ord",200,0,0,0.336652777777778,0.00817003830997221,0.760264166666667,0.00527033461600728,0.161705555555556,0.00445350575106638,0.944666666666667,0.0033723843184113,3.61733333333333,0.0213659194176804,1.07883333333333,0.0170018587751906,0.002,0.000608886362056486,0
100,0.3,0,"freqB","bin",200,0,0,0.590583333333333,0.0084328873333645,0.499096666666667,0.00660765637579388,0.155466666666667,0.00483225252167946,0.984666666666667,0.00228900218179771,1.955,0.00634812695219844,NA,NA,0.0198333333333333,0.00324933957985197,0
100,0.3,0,"freqB","cat3",200,0,0,0.429166666666667,0.00874107185886058,0.681229166666667,0.00698858879227486,0.188883333333333,0.00485655643685358,0.9515,0.00375140025969384,2.764,0.0175436919678137,NA,NA,0.0158333333333333,0.00357528506787681,0
100,0.3,0,"freqB","ord",200,0,0,0.336180555555556,0.00906328514186849,0.767731666666667,0.00596515107478919,0.187377777777778,0.00454792152230969,0.91775,0.0042605189452092,3.44483333333333,0.0269381050178778,1.03044444444444,0.0169541537019652,0.00733333333333334,0.00193645563160559,0
100,0.3,0,"freqB_er","bin",200,0,0,0.525,0.00738961197622236,0.526781666666667,0.00513777114483347,0.1525,0.00500609622776597,0.985,0.00239520738673307,1.94383333333333,0.0090150859976147,NA,NA,0.0321666666666667,0.00594210623143525,0
100,0.3,0,"freqB_er","cat3",200,0,0,0.363333333333333,0.00746759236903444,0.699755833333333,0.00571118326533136,0.167283333333333,0.00513783099860089,0.972833333333333,0.00408813770622773,2.877,0.0196285864757291,NA,NA,0.0203333333333333,0.00487011648911319,0
100,0.3,0,"freqB_er","ord",200,0,0,0.336430555555556,0.00779456435835318,0.759618333333333,0.00513995738374902,0.161602777777778,0.00467242634896877,0.941833333333333,0.0034647261351387,3.60816666666667,0.0206638803708822,1.06980555555556,0.0158578438073326,0.00266666666666667,0.000760557555039851,0
100,0.3,0,"mode_floor","bin",200,0,0,0.604333333333333,0.00889265344627047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,0,"mode_floor","cat3",200,0,0,0.431333333333333,0.00914899316511011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,0,"mode_floor","ord",200,0,0,0.347777777777778,0.00871630689177632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,0.5,"bace","bin",200,0,0,0.682666666666667,0.0070024722442938,0.4746125,0.010153876743503,0.207008333333333,0.00555492972117081,0.908,0.00431350961041342,1.58233333333333,0.009901553380774,NA,NA,0.273833333333333,0.00912986368702221,0
100,0.3,0.5,"bace","cat3",200,0,0,0.517222222222222,0.00757625584203089,0.679629713281102,0.00959055158470269,0.269538132253167,0.00600408386420783,0.896333333333333,0.00395952441746568,2.26816666666667,0.0147589935106441,NA,NA,0.0765,0.00489873728873155,9685
100,0.3,0.5,"bace","ord",200,0,0,0.424041666666667,0.00750050656673782,0.734659166666667,0.00872752048177322,0.249186111111111,0.0055400003862014,0.853555555555556,0.00587562637485184,2.6665,0.0211552152512875,0.820888888888889,0.0127438215580129,0.0571666666666667,0.00509199292613402,0
100,0.3,0.5,"bace_chain","bin",200,0,0,0.678,0.00688783064943356,0.450528333333333,0.00912374090576765,0.1829,0.0048713665610351,0.938166666666667,0.00336996206696381,1.6695,0.00907434859067352,NA,NA,0.201833333333333,0.00771200453570162,0
100,0.3,0.5,"bace_chain","cat3",200,0,0,0.516527777777778,0.00763147449931446,0.659283295690558,0.00906803128814718,0.248627516847331,0.00535494117482936,0.908666666666667,0.00368716669182296,2.32916666666667,0.0140270487286433,NA,NA,0.069,0.00520656502644988,9882
100,0.3,0.5,"bace_chain","ord",200,0,0,0.431583333333333,0.00757644289702605,0.710903333333333,0.00847199852557286,0.221363888888889,0.00547901602139946,0.883527777777778,0.0052279714453447,2.80883333333333,0.0209509777179177,0.798472222222222,0.0122680058115498,0.0406666666666667,0.00418820230241605,0
100,0.3,0.5,"bace_resid","bin",200,0,0,0.682666666666667,0.0070024722442938,0.4746125,0.010153876743503,0.207008333333333,0.00555492972117081,0.908,0.00431350961041342,1.58233333333333,0.009901553380774,NA,NA,0.273833333333333,0.00912986368702221,0
100,0.3,0.5,"bace_resid","cat3",200,0,0,0.517222222222222,0.00757625584203089,0.679629713281102,0.00959055158470269,0.269538132253167,0.00600408386420783,0.896333333333333,0.00395952441746568,2.26816666666667,0.0147589935106441,NA,NA,0.0765,0.00489873728873155,9685
100,0.3,0.5,"bace_resid","ord",200,0,0,0.424041666666667,0.00750050656673782,0.734659166666667,0.00872752048177322,0.249186111111111,0.0055400003862014,0.853555555555556,0.00587562637485184,2.6665,0.0211552152512875,0.820888888888889,0.0127438215580129,0.0571666666666667,0.00509199292613402,0
100,0.3,0.5,"freqA","bin",200,0,0,0.578416666666667,0.00910482221401688,0.50253,0.00656727668518262,0.158966666666667,0.00485312703189566,0.987666666666667,0.00229472728466792,1.9585,0.0072696238969053,NA,NA,0.0203333333333333,0.00467712396178256,0
100,0.3,0.5,"freqA","cat3",200,0,0,0.421666666666667,0.00915847814557902,0.685405833333333,0.00674936899438058,0.187616666666667,0.0050465796555676,0.955583333333333,0.00339408108803558,2.78816666666667,0.0162938152160165,NA,NA,0.00783333333333334,0.0015309481849686,0
100,0.3,0.5,"freqA","ord",200,0,0,0.33175,0.00823804420882921,0.773446666666667,0.00550080012453191,0.189133333333333,0.00502197948351786,0.914583333333333,0.00482853807255458,3.47966666666667,0.0245640833980868,1.04358333333333,0.014864406560211,0.0035,0.00121404170607861,0
100,0.3,0.5,"freqA_er","bin",200,0,0,0.539166666666667,0.00729239946066547,0.517436666666667,0.00510092632898529,0.142316666666667,0.00449555879234029,0.984333333333333,0.00275472286188365,1.94566666666667,0.00953792863442577,NA,NA,0.0298333333333333,0.00639914453732711,0
100,0.3,0.5,"freqA_er","cat3",200,0,0,0.3575,0.00759524484641149,0.698665,0.00451547528125598,0.174658333333333,0.00473061735695136,0.979833333333333,0.00291463796400082,2.90216666666667,0.0167653319082022,NA,NA,0.0143333333333333,0.00373994091026632,0
100,0.3,0.5,"freqA_er","ord",200,0,0,0.318666666666667,0.00776146290789466,0.767349166666667,0.00493070612815752,0.170030555555556,0.00431193480603683,0.943277777777778,0.00351994617758851,3.6345,0.0211629733387351,1.09908333333333,0.0149573279698454,0.0025,0.00102828506954764,0
