"n","lambda","rho","arm","n_fits","n_excluded","n_undefined","n_missing","truth","truth_mc_se","coverage","coverage_se","complete_coverage","complete_coverage_se","coverage_cond","coverage_cond_se","complete_coverage_cond","bias_cond","bias_cond_se","bias","bias_se","rmse","se_mean","emp_sd","width","fmi_mean","m_ok_min","diff_cd_mean","diff_cd_sd","diff_cd_se"
100,1,0.5,"bace_chain",149,17,1,33,0.253345190611432,0.00719339266329275,0.751677852348993,0.0355134404169743,0.563758389261745,0.0407642254890397,0.986577181208054,0.00945924641576814,0.973154362416107,-0.105674732475594,0.0243352554696449,-0.130231010526624,0.0181701514920809,0.256559872308727,0.238314009126633,0.221794964734392,1.0659693296203,0.561381389303255,20,-0.0748493655681099,0.211023611621506,0.0172877278623551
100,1,0.5,"bace_resid",154,17,1,28,0.253345190611432,0.00719339266329275,0.733766233766234,0.0357326079044332,0.551948051948052,0.0402038433355124,0.961038961038961,0.0156437204516503,0.974025974025974,-0.0998132275915655,0.0241039658711382,-0.123740182741129,0.0190045406888358,0.26565209493665,0.252198790768969,0.235840147740406,6.92597697257308,0.527756134303074,20,-0.0673431468903001,0.210800396459619,0.0169867800292815
100,1,0.5,"complete",182,17,1,0,0.253345190611432,0.00719339266329275,0.554945054945055,0.0369396282841876,0.554945054945055,0.0369396282841876,0.972527472527473,0.0121495714647839,0.972527472527473,0.00571810729566964,0.027979338186596,0.0351169517443564,0.0410054735886384,0.552788788530645,0.251881096199343,0.553194082840363,0.999699675627032,0,NA,0,0,0
100,1,0.5,"freqA",182,17,1,0,0.253345190611432,0.00719339266329275,0.631868131868132,0.035848884476631,0.554945054945055,0.0369396282841876,0.994505494505495,0.0054945054945055,0.972527472527473,-0.0548426152257618,0.0270209678835874,-0.0254437707770728,0.0359414896014033,0.484212244376704,0.31739749191676,0.484877203844165,1.28071432522104,0.354551623321454,20,-0.0605607225214325,0.239579550329888,0.0177588177968003
100,1,0.5,"freqA_er",182,17,1,0,0.253345190611432,0.00719339266329275,0.637362637362637,0.0357347120544936,0.554945054945055,0.0369396282841876,0.994505494505495,0.0054945054945055,0.972527472527473,-0.0268860082375501,0.0317710285802983,0.00251283621113889,0.0412299721464028,0.554698236452745,0.315330622452893,0.556222733966488,1.26192750642521,0.286175391137793,20,-0.0326041155332208,0.275489023923517,0.0204206050730941
100,1,0.5,"freqB",182,17,1,0,0.253345190611432,0.00719339266329275,0.642857142857143,0.0356154908204214,0.554945054945055,0.0369396282841876,0.989010989010989,0.00774890925366377,0.972527472527473,-0.019407032812218,0.0323035743496378,0.00999181163647099,0.0423159653012122,0.569390764507436,0.319693358374506,0.570873582613487,1.27922984143095,0.293142606624211,20,-0.0251251401078888,0.274826854773358,0.0203715218300871
100,1,0.5,"freqB_er",182,17,1,0,0.253345190611432,0.00719339266329275,0.648351648351648,0.0354911698948441,0.554945054945055,0.0369396282841876,0.994505494505495,0.0054945054945055,0.972527472527473,-0.0165364583264737,0.0311858380999544,0.0128623861222153,0.0417995531387866,0.562502550472229,0.317815792980837,0.563906801655742,1.27147977593305,0.278605117308249,20,-0.0222545656221444,0.254772467676036,0.0188849917568924
300,0.3,0,"bace",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.9,0.0212664361502501,0.95,0.0154497076780334,0.9,0.0212664361502501,0.95,-0.0223210337229762,0.0120825256334662,-0.0214909490645464,0.0120825256334662,0.171794524367585,0.146047994211881,0.170872716185684,0.582418632795344,0.399637978007268,20,-0.0385953755829885,0.122154310858415,0.0086376141559155
300,0.3,0,"bace_chain",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.94,0.0168349958546813,0.95,0.0154497076780334,0.94,0.0168349958546813,0.95,0.00454090603793772,0.011076594405448,0.00537099069636751,0.011076594405448,0.156346874999144,0.149203959001804,0.156646700330905,0.597218675116763,0.453267337997281,20,-0.0117334358220746,0.106264261804862,0.00751401801200002
300,0.3,0,"bace_resid",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.92,0.019231465004808,0.95,0.0154497076780334,0.92,0.019231465004808,0.95,-0.0237518260038133,0.0121255511894332,-0.0229217413453835,0.0121255511894332,0.172580924682219,0.159895051258793,0.171481189433456,0.638446653859188,0.419801827760298,20,-0.0400261678638257,0.122637897029547,0.00867180886200504
300,0.3,0,"complete",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.95,0.0154497076780334,0.95,0.0154497076780334,0.95,0.0154497076780334,0.95,0.0162743418600123,0.00771511695535606,0.0171044265184421,0.00771511695535606,0.11017097759326,0.10958151789659,0.109108230335592,0.431303322272782,0,NA,0,0,0
300,0.3,0,"freqA",200,0,0,0,-0.000830084658429797,0.00158026382395526,0.995,0.00500000000000001,0.95,0.0154497076780334,0.995,0.00500000000000001,0.95,0.048581152616666,0.00550008503871443,0.0494112372750957,0.00550008503871443,0.0919859039214204,0.132160682782341,0.077782948559553,0.525596818124371,0.355474690275995,20,0.032306810756525,0.0802078395140775,0.00567155072247265
