"contrast","measure","n","lambda","rho","trait","diff","se","datasets"
"bace_chain - bace","accuracy",100,1,0,"cat3",0.00220360024829298,0.00241741832284999,179
"bace_chain - bace","accuracy",100,1,0,"ord",0.00299145299145299,0.00345968764311748,182
"bace_chain - bace","accuracy",100,1,0.5,"bin",0.00533333333333333,0.00223701267368164,150
"bace_chain - bace","accuracy",100,1,0.5,"cat3",0.00545138888888888,0.0030593933854235,160
"bace_chain - bace","accuracy",100,1,0.5,"ord",-0.000909090909090909,0.00323345862665474,165
"bace_chain - bace","accuracy",300,0.3,0,"bin",0.0025,0.00262468997339074,200
"bace_chain - bace","accuracy",300,0.3,0,"cat3",-0.00580555555555555,0.0029882043421005,200
"bace_chain - bace","accuracy",300,0.3,0,"ord",9.72222222222213e-05,0.00370047084327368,200
"bace_chain - bace","accuracy",300,0.3,0.5,"bin",0.00430555555555556,0.00229954717488124,200
"bace_chain - bace","accuracy",300,0.3,0.5,"cat3",0.00097222222222221,0.00296662303892872,200
"bace_chain - bace","accuracy",300,0.3,0.5,"ord",0.00176388888888889,0.00313761771542887,200
"bace_chain - bace","accuracy",300,0.7,0,"bin",0.00444444444444445,0.00186640475682461,200
"bace_chain - bace","accuracy",300,0.7,0,"cat3",-0.00161111111111111,0.00252648665340859,200
"bace_chain - bace","accuracy",300,0.7,0,"ord",0.000282407407407408,0.00317898808541166,200
"bace_chain - bace","accuracy",300,0.7,0.5,"bin",0.00702777777777778,0.00163826417793938,200
"bace_chain - bace","accuracy",300,0.7,0.5,"cat3",-0.000499999999999994,0.00236267150462126,200
"bace_chain - bace","accuracy",300,0.7,0.5,"ord",-0.00174537037037037,0.00285680120866057,200
"bace_chain - bace","accuracy",300,1,0,"bin",0.000347222222222221,0.000863634122129021,176
"bace_chain - bace","accuracy",300,1,0,"cat3",0.00108108108108108,0.000878407671397487,185
"bace_chain - bace","accuracy",300,1,0,"ord",-0.00206855791962175,0.00109587415208832,188
"bace_chain - bace","accuracy",300,1,0.5,"bin",-9.46969696969731e-05,0.000793889037604591,176
"bace_chain - bace","accuracy",300,1,0.5,"cat3",9.85027580772381e-06,0.000891248040107721,188
"bace_chain - bace","accuracy",300,1,0.5,"ord",-0.00102880658436213,0.00113556102447504,189
"bace_chain - bace","brier",100,0.3,0,"bin",-0.0298225,0.00513001713098873,200
"bace_chain - bace","brier",100,0.3,0,"cat3",-0.0263643899531504,0.00449894841686324,200
"bace_chain - bace","brier",100,0.3,0,"ord",-0.0216525,0.00404197317518797,200
"bace_chain - bace","brier",100,0.3,0.5,"bin",-0.0240841666666667,0.00476824876192334,200
"bace_chain - bace","brier",100,0.3,0.5,"cat3",-0.0203464175905437,0.00424298084058577,200
"bace_chain - bace","brier",100,0.3,0.5,"ord",-0.0237558333333333,0.00430156241943843,200
"bace_chain - bace","brier",100,0.7,0,"bin",-0.0348941666666667,0.0043356573425155,200
"bace_chain - bace","brier",100,0.7,0,"cat3",-0.0194288628150135,0.00395854566149591,200
"bace_chain - bace","brier",100,0.7,0,"ord",-0.0231341666666667,0.00414274181426632,200
"bace_chain - bace","brier",100,0.7,0.5,"bin",-0.0213925,0.00376418958763703,200
"bace_chain - bace","brier",100,0.7,0.5,"cat3",-0.0160553411417864,0.00398625859842097,200
"bace_chain - bace","brier",100,0.7,0.5,"ord",-0.0222258333333333,0.00395866994028544,200
"bace_chain - bace","brier",100,1,0,"bin",-0.00797352941176471,0.00273323780953436,170
"bace_chain - bace","brier",100,1,0,"cat3",-0.00212017495030532,0.00225669840771305,179
"bace_chain - bace","brier",100,1,0,"ord",-0.00161446886446887,0.0030412064725079,182
"bace_chain - bace","brier",100,1,0.5,"bin",-0.00467,0.00238516860133064,150
"bace_chain - bace","brier",100,1,0.5,"cat3",-0.00677147617708117,0.00290424217839733,160
"bace_chain - bace","brier",100,1,0.5,"ord",-0.00143232323232323,0.00281814214324708,165
"bace_chain - bace","brier",300,0.3,0,"bin",-0.0248094444444444,0.00281658334036037,200
"bace_chain - bace","brier",300,0.3,0,"cat3",-0.0149088888888889,0.00218223014255182,200
"bace_chain - bace","brier",300,0.3,0,"ord",-0.0174613888888889,0.00232395105933748,200
"bace_chain - bace","brier",300,0.3,0.5,"bin",-0.0204236111111111,0.00230195333338085,200
"bace_chain - bace","brier",300,0.3,0.5,"cat3",-0.00819290750022737,0.00212886913382745,200
"bace_chain - bace","brier",300,0.3,0.5,"ord",-0.0105919444444444,0.00202611573035035,200
"bace_chain - bace","brier",300,0.7,0,"bin",-0.0161727777777778,0.00185630966389594,200
"bace_chain - bace","brier",300,0.7,0,"cat3",-0.0099489997395795,0.00201551011329079,200
"bace_chain - bace","brier",300,0.7,0,"ord",-0.0123975,0.00238551324540332,200
"bace_chain - bace","brier",300,0.7,0.5,"bin",-0.0141102777777778,0.00182693032228677,200
"bace_chain - bace","brier",300,0.7,0.5,"cat3",-0.00470629151812737,0.00191872910049481,200
"bace_chain - bace","brier",300,0.7,0.5,"ord",-0.00875277777777777,0.00215144558120843,200
"bace_chain - bace","brier",300,1,0,"bin",-0.000953598484848484,0.00084086389535248,176
"bace_chain - bace","brier",300,1,0,"cat3",-0.000728092661756954,0.000858524469315877,185
"bace_chain - bace","brier",300,1,0,"ord",0.00115336879432624,0.000988013197448263,188
"bace_chain - bace","brier",300,1,0.5,"bin",-0.0012136994949495,0.000768127937582486,176
"bace_chain - bace","brier",300,1,0.5,"cat3",0.000378460005329585,0.000802264767930228,188
"bace_chain - bace","brier",300,1,0.5,"ord",0.000542915931804821,0.00104610036069372,189
"freqA - freqB","accuracy",100,0.3,0,"bin",-0.00083333333333333,0.00619313888839084,200
"freqA - freqB","accuracy",100,0.3,0,"cat3",-0.00791666666666666,0.0067280854841867,200
"freqA - freqB","accuracy",100,0.3,0,"ord",0.00291666666666666,0.00699398160845279,200
"freqA - freqB","accuracy",100,0.3,0.5,"bin",5.55111512312578e-18,0.00598830984750322,200
"freqA - freqB","accuracy",100,0.3,0.5,"cat3",-0.001,0.00626138271120443,200
"freqA - freqB","accuracy",100,0.3,0.5,"ord",0.00231944444444444,0.00593157213123753,200
"freqA - freqB","accuracy",100,0.7,0,"bin",0.002,0.00408344015858625,200
"freqA - freqB","accuracy",100,0.7,0,"cat3",-0.00216666666666667,0.00523099842289014,200
"freqA - freqB","accuracy",100,0.7,0,"ord",-0.000277777777777778,0.005518195148518,200
"freqA - freqB","accuracy",100,0.7,0.5,"bin",0.00175,0.00434163214491302,200
"freqA - freqB","accuracy",100,0.7,0.5,"cat3",-0.00016666666666667,0.00529555031650745,200
"freqA - freqB","accuracy",100,0.7,0.5,"ord",0.0117222222222222,0.00487566259469712,200
"freqA - freqB","accuracy",100,1,0,"bin",0.00189189189189189,0.00120051961992135,185
"freqA - freqB","accuracy",100,1,0,"cat3",-0.00160744500846023,0.00143732590886237,197
"freqA - freqB","accuracy",100,1,0,"ord",-0.00675,0.00243020237523331,200
"freqA - freqB","accuracy",100,1,0.5,"bin",0.001183970856102,0.00137314128188822,183
"freqA - freqB","accuracy",100,1,0.5,"cat3",0.00128205128205128,0.00227659409612672,195
"freqA - freqB","accuracy",100,1,0.5,"ord",-0.00536111111111112,0.00239727130355227,200
"freqA - freqB","accuracy",300,0.3,0,"bin",0.000305555555555557,0.00319535709051651,200
"freqA - freqB","accuracy",300,0.3,0,"cat3",-0.000555555555555562,0.00372303257094108,200
"freqA - freqB","accuracy",300,0.3,0,"ord",0.00326388888888889,0.00432121776565719,200
"freqA - freqB","accuracy",300,0.3,0.5,"bin",0.00147222222222223,0.00348338017363652,200
"freqA - freqB","accuracy",300,0.3,0.5,"cat3",0.00375,0.00374958638660318,200
"freqA - freqB","accuracy",300,0.3,0.5,"ord",0.005625,0.00401084838315696,200
"freqA - freqB","accuracy",300,0.7,0,"bin",0.00119444444444445,0.00288698706350715,200
"freqA - freqB","accuracy",300,0.7,0,"cat3",-0.00116666666666667,0.00348852176511968,200
