"arm","n","lambda","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace_resid",100,0.7,0.944833333333333,0.00207404361576076,3.44973884070756,0.0326978831233418,0.806387775759952,0.00792316996335067,4.30969225100212,0.0487402555355748,3.45952559979809,400
"freqA",100,0.7,0.936833333333333,0.00172231654146555,2.81808180871564,0.0213721763846247,0.70933765845451,0.00635357360299098,3.58347820616583,0.0373917751015428,2.83024646036413,400
"freqB",100,0.7,0.934083333333333,0.00169009741364617,2.81054632843918,0.0212590728628339,0.709454627045606,0.00634897168447128,3.60081117339652,0.0381130559166285,2.82613045836594,400
"bace",300,0.7,0.906666666666667,0.00159698383677443,2.51834454460841,0.0191119275627921,0.723686010982075,0.00593317439818783,3.81698006131274,0.0414928233556834,2.51946288973831,400
"bace_chain",300,0.7,0.945847222222222,0.000934880554672791,2.81480943640424,0.0210708565067808,0.685473768766587,0.0052375028290414,3.41120011120433,0.0271411461974453,2.82517881934743,400
"bace_resid",300,0.7,0.967305555555556,0.000887468189009213,3.40311903171869,0.0262290534082198,0.733465263624852,0.00598162322003138,3.84720975202477,0.0334027731862694,3.40938070440185,400
"freqA",300,0.7,0.944972222222222,0.000897832297395293,2.81333879558074,0.0197574587064292,0.693971099082277,0.00514974642839193,3.4244509612338,0.0261156426177261,2.82573530785543,400
"freqB",300,0.7,0.946041666666667,0.000911465067239847,2.8120377407888,0.0196800830861102,0.693709527144783,0.00514815322362982,3.42081199502268,0.0267186352761719,2.83695220678351,400
"bace",1000,0.7,0.915,0.00160057394786706,2.4061890804331,0.0246114623143004,0.676475056944433,0.00811342589209046,3.51558931320043,0.0516718779570696,2.40218017731647,200
"bace_chain",1000,0.7,0.948408333333333,0.000686909738490476,2.66032539030247,0.0280769954610103,0.646403670400373,0.00691919894438956,3.18728712182618,0.035117562154584,2.66221676318112,200
"bace_resid",1000,0.7,0.975,0.000803659274841698,3.32978003236066,0.0345015578682873,0.686935694462759,0.00819611668426334,3.67384730966893,0.0431525910767198,3.32004582172721,200
"freqA",1000,0.7,0.949828738512949,0.000506475736863538,2.73647067547075,0.0197812132958811,0.663397617604052,0.00496272684612634,3.27454988756983,0.0249084276338864,2.74728748485115,399
"freqB",1000,0.7,0.949670008354219,0.000497249297107011,2.73979245063394,0.0199672764825237,0.663019361375239,0.00502414951436029,3.26102439648947,0.0249326897040707,2.7542056910237,399
"bace",100,1,0.941029272898961,0.00200805810912097,0.935713688297745,0.0168714044807437,0.275293228675627,0.00568170442920055,1.20155787052936,0.0248562734080371,0.879160607936075,353
"bace_chain",100,1,0.96911623439001,0.00131155863705061,1.07869945263575,0.0180697086107554,0.251553429809789,0.00490809364962751,1.21389902943717,0.0218113956844328,1.02914549275632,347
"bace_resid",100,1,0.94915014164306,0.00185731082240779,0.966438070880327,0.0171218054304833,0.275466277287912,0.00568735434857064,1.20789679827273,0.0245479022101169,0.91083788288428,353
"freqA",100,1,0.948666666666667,0.00157509508714747,0.791552119591233,0.0125914223949771,0.228753115214597,0.00460706199259512,1.01819603408145,0.0213228870313367,0.761317386743334,400
"freqB",100,1,0.948083333333333,0.00158570591265749,0.788403441068501,0.0124558548325069,0.230116853864325,0.0049189491068937,1.02383521930143,0.0225371752411189,0.765826428845697,400
"bace",300,1,0.947850877192982,0.0011297915682103,0.501075076919236,0.00738361943897583,0.155358790446523,0.00302296011961387,0.624126802098846,0.010936492566129,0.490028702436861,380
"bace_chain",300,1,0.959806508355321,0.000943055187752161,0.534342816025928,0.00752464175377937,0.150058283873749,0.00276574736735681,0.627638670168254,0.00982154586483665,0.524226839967012,379
