"arm","n","lambda","rho","estimand","coverage","coverage_se","bias","bias_se","rmse","bias_vs_complete","ci_width","fmi_median","datasets"
"complete",100,1,0.5,"cor",0.925,0.0186713173196821,-0.00315460257704929,0.00575444380616302,0.0812376919758213,0,0.29607307406016,0,200
"freqA",100,1,0.5,"cor",0.95,0.0154497076780334,-0.0180801494392163,0.00747826796752886,0.107032077765425,-0.0149255468622246,0.413400779852089,0.460339787659722,200
"freqB",100,1,0.5,"cor",0.925,0.0186713173196821,-0.0176860834933196,0.00748877893479442,0.107112453646822,-0.0145314809163279,0.368483546276499,0.324269194882535,200
"bace",300,1,0.5,"cor",0.905759162303665,0.0211957669813957,-0.0247510281932273,0.00618972217031079,0.0888370356343172,-0.0229958030240029,0.262528463355084,0.459376336432968,191
"bace_chain",300,1,0.5,"cor",0.942105263157895,0.0169878475530963,-0.0466140479007972,0.00527870267685319,0.0862513659623106,-0.0452342562766715,0.326956887839221,0.591455589578854,190
"bace_resid",300,1,0.5,"cor",0.884816753926702,0.0231603183662916,-0.0344850724802377,0.00607355483391393,0.0905425491405754,-0.0327298473110133,0.263057782032664,0.454919491402763,191
"complete",300,1,0.5,"cor",0.955,0.014695399751941,-0.00312719729795054,0.00318242049272338,0.0450023510635716,-2.77555756156289e-18,0.170650014397776,0,200
"freqA",300,1,0.5,"cor",0.94,0.0168349958546813,-0.0231429026486817,0.00444429939377612,0.0668296458632589,-0.0200157053506662,0.239626485208313,0.46427538264266,200
"freqB",300,1,0.5,"cor",0.885,0.0226148659249622,-0.0228354486984736,0.0044293447814601,0.0665256165749491,-0.0197082514004581,0.213328331963158,0.323413211468159,200
"bace",1000,1,0.5,"cor",0.968421052631579,0.0180371122881979,-0.00931340481077395,0.00476775255755973,0.047153972976626,-0.00717667941033881,0.162201056303813,0.450507991177608,95
"bace_chain",1000,1,0.5,"cor",0.905263157894737,0.0302052857240614,-0.0331515567036202,0.00421580012262911,0.052627796412405,-0.031014831303185,0.207089133755686,0.556536977674316,95
"bace_resid",1000,1,0.5,"cor",0.91578947368421,0.0286429066584514,-0.0196593652110165,0.00468307377623394,0.0494774853837907,-0.0175226398105814,0.162188766186619,0.437935991334968,95
"complete",1000,1,0.5,"cor",0.97,0.0120926074846947,0.00166222525384909,0.00171471163438281,0.0242460296672053,1.94289029309402e-18,0.092800323586257,0,200
"freqA",1000,1,0.5,"cor",0.905,0.0207854558737449,-0.0235998867970638,0.00228899010932627,0.0399951287687929,-0.0252621120509214,0.131027133725692,0.463296374847585,200
"freqB",1000,1,0.5,"cor",0.84,0.0259880142454577,-0.0243943495507585,0.00235062259192848,0.0411660561308928,-0.0260565748046161,0.116202313623297,0.315884679493525,200
"bace",100,0.3,0,"slope",0.93,0.0180868924470722,0.00788477201803489,0.0104693505816693,0.147898690489653,0.00750857137549534,0.519519237341104,0.429436767616825,200
"bace_chain",100,0.3,0,"slope",0.955,0.014695399751941,0.00700970501385318,0.00953774692308487,0.134728952425881,0.00663350437131362,0.561661952140762,0.488717392327735,200
"bace_resid",100,0.3,0,"slope",0.96,0.0138911779241576,0.00539573612743187,0.00927245413772399,0.130915303573951,0.00501953548489232,0.537961694109039,0.462312034391668,200
"complete",100,0.3,0,"slope",0.93,0.0180868924470722,0.000376200642539554,0.00757819545369027,0.106904264402574,0,0.396378112064287,0,200
"freqA",100,0.3,0,"slope",0.955,0.014695399751941,0.00866448576281008,0.0100966241386303,0.142693711472832,0.00828828512056871,0.559529901206382,0.497444256623593,200
"freqB",100,0.3,0,"slope",0.895,0.0217309958562539,0.00995988926570162,0.0101885552472136,0.144071941547494,0.00958368862346026,0.479939180485517,0.325036183104122,200
"bace",300,0.3,0,"slope",0.92,0.019231465004808,-0.00581051071293026,0.00593412721070149,0.0839125814139325,-0.00130650309393536,0.290544242531372,0.38775772537843,200
"bace_chain",300,0.3,0,"slope",0.965,0.013027801736688,-0.00293733508903053,0.00532499803414632,0.075175748390648,0.00156667252996436,0.313258843909917,0.458239423357824,200
"bace_resid",300,0.3,0,"slope",0.955,0.014695399751941,-0.00443769461968897,0.00520866330757595,0.0736111245018274,6.6312999305927e-05,0.301459418118152,0.427054800286432,200
