"arm","n","lambda","rho","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace",100,0.3,0.5,0.883916666666667,0.00388876874266029,3.03890265631334,0.0250213560142882,0.911244601172705,0.00886239324961199,5.04642483885973,0.0873607412817633,3.01434959293918,200
"bace_chain",100,0.3,0.5,0.946833333333333,0.00231033775124904,3.5364694533485,0.0220327688159719,0.846536022580553,0.00757980567414478,4.31315534597694,0.0478033570175263,3.5521818095774,200
"bace_resid",100,0.3,0.5,0.948333333333333,0.00270966176671657,3.97509378297527,0.0336486001812029,0.919271763273352,0.00893214874322677,4.78896266437491,0.0603902585489963,3.90624674085106,200
"freqA",100,0.3,0.5,0.939083333333333,0.00240566722242215,3.31789525819056,0.0194226699134913,0.828073530221197,0.00702885998569635,4.18016763913755,0.0455015653431509,3.33758265148151,200
"freqB",100,0.3,0.5,0.9365,0.00232839271143181,3.29818205432494,0.0185684874671569,0.8288506956877,0.00708940921192146,4.18734579203128,0.0472348761147975,3.32418107081013,200
"bace",300,0.3,0.5,0.912833333333333,0.00204575356212575,2.93920945976809,0.0153855754091954,0.816205569399596,0.00475869192872486,4.1595292345604,0.0365811954969141,2.95483410092243,200
"bace_chain",300,0.3,0.5,0.946083333333333,0.00140887215378253,3.22709271770125,0.0150148830478194,0.789967419549807,0.00459554903492761,3.93403968385571,0.0274221400101515,3.24472535548086,200
"bace_resid",300,0.3,0.5,0.9745,0.00103612849382838,4.04024250156972,0.0221645050291591,0.828038094040363,0.00482773016214076,4.36094280386539,0.0246612897117512,4.07083017980948,200
"freqA",300,0.3,0.5,0.94425,0.00135990272138342,3.29728737024643,0.0144051224060856,0.814925570777537,0.0047655483258601,4.03174746103725,0.0283406887380002,3.32921637295399,200
"freqB",300,0.3,0.5,0.945361111111111,0.00128809438295519,3.29703395340519,0.0143426795897082,0.81444921669834,0.00489338974296205,4.01307173236096,0.028820530544713,3.32278074721346,200
"bace",1000,0.3,0.5,0.931516666666667,0.00122453752235642,2.93236935962346,0.0144572480666397,0.767233633174892,0.0047029843448661,3.81548424219116,0.0264548060829279,2.95491369684005,100
"bace_chain",1000,0.3,0.5,0.949833333333333,0.00107138581497714,3.12303296830475,0.0154571398609654,0.756967346830995,0.00461277195528723,3.738675948706,0.0235418765868392,3.14011882277453,100
"bace_resid",1000,0.3,0.5,0.983483333333333,0.000529221841552063,4.09317959741105,0.0202689635629437,0.781145880940329,0.00478732299564242,4.28435146577459,0.0223639998472838,4.12831277493047,100
"freqA",1000,0.3,0.5,0.94927135678392,0.000735672278991566,3.27264437120961,0.0135952587146671,0.793927003300482,0.00392002227665021,3.91819417400494,0.0204267617648277,3.29926246792697,199
"freqB",1000,0.3,0.5,0.949505862646566,0.000691131253678046,3.27686715493903,0.0138585750352661,0.792923317582086,0.00396027181751598,3.90430942909473,0.0209031854904034,3.29376988879314,199
"bace",100,0.7,0.5,0.886333333333333,0.00424960996009677,2.53884307844578,0.0319062031500124,0.748191473159338,0.00968849796229095,4.170806611616,0.083394423884493,2.54320575949968,200
