"arm","n","lambda","estimand","coverage","coverage_se","bias","rmse","ci_width","fmi_median","datasets"
"freqB",300,0.7,"cor",0.9225,0.0133859004488703,-0.00349249042745376,0.0691677744004629,0.239529415439907,0.30923753039724,400
"bace",1000,0.7,"cor",0.865,0.024224141785131,-0.00404690108301402,0.0455531465695846,0.139435490418497,0.405838839092716,200
"bace_chain",1000,0.7,"cor",0.99,0.00705327893384296,-0.0013241394640718,0.0359018653874424,0.150395164514282,0.469586160486322,200
"bace_resid",1000,0.7,"cor",0.75,0.0306954565901272,-0.0379805012589687,0.0563332574499055,0.14981720384895,0.434784354542107,200
"complete",1000,0.7,"cor",0.9575,0.0100989775903765,0.00283410234887108,0.0286797314630187,0.108306999180385,0,400
"freqA",1000,0.7,"cor",0.952380952380952,0.0106746628491005,0.00232507654442619,0.0358735835740143,0.149294039831323,0.467541075669509,399
"freqB",1000,0.7,"cor",0.924812030075188,0.0132178061627973,0.00168407540653268,0.0363106134221639,0.131195872481524,0.302671815364537,399
"bace",100,1,"cor",0.968838526912181,0.009261116735568,-0.04432158694231,0.140064428132715,0.551938766981116,0.509585819528298,353
"bace_chain",100,1,"cor",0.976945244956772,0.00806821231983466,-0.0485020676786672,0.130982147821418,0.641573645553156,0.600117181443518,347
"bace_resid",100,1,"cor",0.963172804532578,0.0100384138808224,-0.048139236337679,0.139285698848975,0.549026736728679,0.49299744871145,353
"complete",100,1,"cor",0.935,0.0123417298519839,-0.00116280302818805,0.095045903444244,0.342285464942334,0,400
"freqA",100,1,"cor",0.95,0.0109108945117996,-0.0122154223503019,0.121716892174805,0.470460248630935,0.461388138283301,400
"freqB",100,1,"cor",0.9275,0.012981937519276,-0.0108262715786058,0.122109472915352,0.421332200230636,0.325857364736685,400
"bace",300,1,"cor",0.918421052631579,0.0140601631065317,-0.0215580484431379,0.0883589061621771,0.30315481602574,0.463878054594941,380
"bace_chain",300,1,"cor",0.960422163588391,0.0100279281011358,-0.0246218517251757,0.0816889149229858,0.350696821943943,0.549131135354812,379
"bace_resid",300,1,"cor",0.913157894736842,0.0144650022565266,-0.0260312136333357,0.0882276741882132,0.302673973692896,0.462322409378594,380
"complete",300,1,"cor",0.9475,0.0111656192229351,-0.00377769728028825,0.0542425888009248,0.198134361136682,0,400
"freqA",300,1,"cor",0.94,0.0118892129032433,-0.015483237860583,0.0746031373759558,0.274373078321441,0.466469236357291,400
"freqB",300,1,"cor",0.91,0.0143270079882276,-0.0144478443135806,0.0736058016934715,0.244414919316128,0.325774119569255,400
"bace",1000,1,"cor",0.947368421052632,0.0162424578907465,-0.0128223076841933,0.0485746332585674,0.172242543480731,0.44957134209679,190
"bace_chain",1000,1,"cor",0.936842105263158,0.0176935965861882,-0.019341229994028,0.0501646134173935,0.213686249695503,0.519600485267583,190
"bace_resid",1000,1,"cor",0.936842105263158,0.0176935965861882,-0.0174296919350335,0.049042347980802,0.171559841715109,0.438842967239495,190
"complete",1000,1,"cor",0.96,0.00981022943175943,0.00259669530277016,0.0285667787920051,0.108328755900522,0,400
"freqA",1000,1,"cor",0.9475,0.0111656192229351,-0.0135631970685634,0.0402700046868926,0.1504959363861,0.463917776363908,400
"freqB",1000,1,"cor",0.9,0.0150187852296528,-0.0143407033489142,0.0414062995320924,0.13398377088006,0.320212754608353,400
"bace",100,0.3,"slope",0.9225,0.0133859004488703,-0.00387578421549636,0.139896151158182,0.48918759252259,0.418953727264119,400
"bace_chain",100,0.3,"slope",0.9575,0.0100989775903765,-0.011218069357441,0.128484917987989,0.532413239093005,0.489741428714958,400
"bace_resid",100,0.3,"slope",0.9525,0.0106486082256254,-0.0293839349761623,0.134393185510383,0.513918097794779,0.459030205221849,400
"complete",100,0.3,"slope",0.93,0.0127733274731701,0.000350999978149211,0.0999997826448321,0.369825813308,0,400
"freqA",100,0.3,"slope",0.945,0.0114132886537902,0.00777206630456935,0.133046514985684,0.517555706341631,0.484044883016348,400
"freqB",100,0.3,"slope",0.905,0.0146791072779032,0.00840328202815265,0.134610598811931,0.446784463641962,0.322459897727829,400
"bace",300,0.3,"slope",0.93,0.01277332747317,-0.0014302452708427,0.0768632726706447,0.27188879863397,0.385775127960996,400
"bace_chain",300,0.3,"slope",0.97,0.0085400427883628,-0.00875474710510605,0.0701172820468647,0.291655368932882,0.453037889074646,400
"bace_resid",300,0.3,"slope",0.9175,0.0137734761994401,-0.0319912072061673,0.0804098484281751,0.288346196436881,0.437830694990495,400
"complete",300,0.3,"slope",0.92,0.013581647649759,-0.00420229631793956,0.0599310866595835,0.211479396736494,0,400
"freqA",300,0.3,"slope",0.957393483709273,0.0101237569570473,-0.00543341658854377,0.0710314316935989,0.292410050559264,0.466692596375357,399
"freqB",300,0.3,"slope",0.93483709273183,0.0123716224551263,-0.00465228721797549,0.0708473369440594,0.257668454064711,0.310989896540893,399
"bace",1000,0.3,"slope",0.92,0.019231465004808,0.00750155892575021,0.0437911432499904,0.147379592049565,0.366300440151207,200
"bace_chain",1000,0.3,"slope",0.975,0.0110674042659482,0.00153399528626997,0.0386740986013028,0.158242239569425,0.441646396454305,200
"bace_resid",1000,0.3,"slope",0.815,0.0275256846705566,-0.0281924373054543,0.0542675125411751,0.15691720006426,0.423031355876904,200
"complete",1000,0.3,"slope",0.95,0.0109108945117996,0.00332322718996266,0.0302571876725884,0.115986323455896,0,400
"freqA",1000,0.3,"slope",0.969924812030075,0.00856114147253797,0.00404723351439947,0.0379528653772109,0.159544591302497,0.458648370437726,399
"freqB",1000,0.3,"slope",0.93734335839599,0.0121476249169501,0.00327828424492968,0.0381701519599219,0.14064108262419,0.302078926842417,399
"bace",100,0.7,"slope",0.92,0.013581647649759,-0.00923309522168423,0.141163468973231,0.514560255088905,0.436080434292327,400
"bace_chain",100,0.7,"slope",0.955,0.0103781870727643,-0.0123575279737973,0.134651163665923,0.553450623335855,0.516135615073138,400
"bace_resid",100,0.7,"slope",0.9275,0.012981937519276,-0.0330096531735856,0.137039845653539,0.531745866469795,0.466599938125243,400
"complete",100,0.7,"slope",0.915,0.0139615476230278,0.000687322579037614,0.100814800870042,0.36814787915319,0,400
"freqA",100,0.7,"slope",0.9475,0.0111656192229351,0.00830785251601394,0.132074557066922,0.516362133765267,0.482432630465337,400
"freqB",100,0.7,"slope",0.925,0.0131860600806733,0.00830476356706168,0.133816801598479,0.447161123503213,0.323585182020688,400
"bace",300,0.7,"slope",0.89,0.0156640802002959,-0.0102164047854652,0.0822801219728982,0.274805717491384,0.384962098781197,400
"bace_chain",300,0.7,"slope",0.9575,0.0100989775903765,-0.0109898654610656,0.0736381567995303,0.29264718140455,0.447617108067689,400
"bace_resid",300,0.7,"slope",0.91,0.0143270079882275,-0.0386406116367403,0.0837429331153466,0.290035657108667,0.428890357709805,400
"complete",300,0.7,"slope",0.935,0.0123417298519839,-0.00437328585357313,0.0595395719082133,0.211744427572131,0,400
"freqA",300,0.7,"slope",0.9675,0.00887729637769538,-0.00517855568125179,0.0713746719538906,0.29212112841536,0.469950927845192,400
"freqB",300,0.7,"slope",0.9375,0.0121182302238981,-0.00436168368942695,0.0715337142330762,0.257550214116992,0.310772382330374,400
"bace",1000,0.7,"slope",0.88,0.0230359125352493,-0.00147400291040208,0.0479664477512739,0.148978302982524,0.38436272900321,200
"bace_chain",1000,0.7,"slope",0.98,0.00992433687011669,0.00107430277201921,0.0379541372628154,0.160771966282245,0.451959469791634,200
"bace_resid",1000,0.7,"slope",0.82,0.0272343265514968,-0.0358453987338444,0.055453313565318,0.15867845888443,0.437348681562221,200
"complete",1000,0.7,"slope",0.95,0.0109108945117996,0.00342044562790986,0.0302252607652872,0.115975659512106,0,400
"freqA",1000,0.7,"slope",0.969924812030075,0.00856114147253797,0.00364177724985599,0.0377056527068289,0.159371877596391,0.455891294559969,399
"freqB",1000,0.7,"slope",0.924812030075188,0.0132178061627973,0.0029145918293241,0.0381635076633352,0.140609814397796,0.302396879342283,399
"bace",100,1,"slope",0.94900849858357,0.0117249937245245,-0.0421873251312102,0.147057526416909,1.01776436569848,0.524461988970318,353
"bace_chain",100,1,"slope",0.971181556195965,0.00899388698958097,-0.0473543496072994,0.137099924319449,0.967346027844968,0.615736883543223,347
"bace_resid",100,1,"slope",0.946175637393768,0.0120282929478538,-0.046044848212516,0.146873441027014,0.886677798373653,0.512881461056391,353
"complete",100,1,"slope",0.945,0.0114132886537902,-0.00020167850873725,0.100091047935061,0.374588212207273,0,400
"freqA",100,1,"slope",0.955,0.0103781870727643,-0.0137991734659663,0.126673216876285,0.517069798772806,0.474105927307573,400
"freqB",100,1,"slope",0.93,0.0127733274731701,-0.012034787918202,0.128082089485376,0.456972511355546,0.344037010754956,400
"bace",300,1,"slope",0.923684210526316,0.0136379582179808,-0.0211843001743766,0.0912105515717643,0.341222625992968,0.468837143436799,380
