"dgp","n","lambda","rho","evo","miss","frac","trait","arm","n_reps","n_cells","ece","ece_mcse"
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,60000,0.079598505235583,0.00389502079351005
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,6000,0.0171565810957796,0.00326793413815947
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,18000,0.00714267100841294,0.00115830856375492
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,60000,0.00490078744009038,0.000553342205930107
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","gnn_off",200,6000,0.0389163558457584,0.00646329275723471
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","gnn_off",200,18000,0.0276999269563224,0.0039547642856132
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","gnn_off",200,60000,0.0234726168734905,0.00350578723928273
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","gnn_off",200,6000,0.0392768836879476,0.00668742853103907
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","gnn_off",200,18000,0.0458961509236364,0.00443456919553182
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","gnn_off",200,60000,0.0560439099896295,0.00386882622131135
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","gnn_off",200,6000,0.118732140191944,0.00727973204259059
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","gnn_off",200,18000,0.160599023635764,0.00534882944266164
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","gnn_off",200,60000,0.187530611948348,0.0039793304419707
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","gnn_off",200,6000,0.0419955682371346,0.00686273717960482
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","gnn_off",200,18000,0.0316057858788318,0.00418972065612206
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","gnn_off",200,60000,0.0221234849366934,0.00353184972070339
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","gnn_off",200,6000,0.0413895014995752,0.00661048888168356
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","gnn_off",200,18000,0.045518963916541,0.00446334890690818
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","gnn_off",200,60000,0.0600833385411711,0.0044851342713091
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","gnn_off",200,6000,0.119407071975431,0.00665863077042119
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","gnn_off",200,18000,0.164026219532234,0.00536048224211761
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","gnn_off",200,60000,0.188021903469004,0.00434221141733395
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,6000,0.0372539474326257,0.00580875557356753
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,18000,0.0195799568991949,0.00414566137072163
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,60000,0.0112024379622258,0.00229864882180843
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,6000,0.0237577483261175,0.00607128913569708
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,18000,0.0327961405555991,0.00490040882129814
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,60000,0.0507518077606168,0.00420279573466063
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,6000,0.118573690189605,0.00686260708740028
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,18000,0.166220838605194,0.00578020399154027
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,60000,0.192133481314664,0.00442729779747501
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,6000,0.0355991861613556,0.00662833818349845
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,18000,0.0248464887613383,0.00397624145073639
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,60000,0.00736369136875464,0.00204997493565744
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,6000,0.023926483476779,0.00591211463449226
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,18000,0.0286126227439521,0.00458705912309033
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,60000,0.058336248840478,0.00476898399298798
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,6000,0.120673519720501,0.00647136311318434
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,18000,0.168480469296724,0.0054579565336358
