"dgp","n","lambda","rho","evo","miss","frac","trait","metric","arm","reference","n_common_seeds","mean_diff","mcse_diff"
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0886111111111111,0.00646034614684025
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0937777777777778,0.0066883325589331
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.00123333333333333,0.0023876555319267
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.2141,0.00668513519292611
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0859333333333333,0.0049109979244734
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0857833333333333,0.00492600056582816
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0935833333333333,0.00489572663734908
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.08565,0.00496341711846828
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,0.0727833333333333,0.00542291689390414
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,-0.002,0.00496576779607932
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.0633333333333333,0.0122771950133646
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0191666666666667,0.00858314834491911
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0045,0.00899369311867476
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0208333333333333,0.00876976908502033
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0186666666666667,0.00859030916218702
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.0536666666666667,0.0116452063930815
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.111,0.0101926755438642
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.00311111111111111,0.00324578878858483
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0504444444444444,0.00713541004817646
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.00888888888888889,0.00984651742135842
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0363333333333333,0.00779837346496375
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0516111111111111,0.00700070343793002
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0516666666666667,0.00706942257398009
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.109966666666667,0.0092630221983386
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,-0.000149999999999997,0.0013131422413675
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.0373666666666667,0.00910631388326145
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.03855,0.00453102571452469
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0379,0.00450549078749263
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0393166666666667,0.00468233177771559
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.03845,0.00542523816076869
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,-0.117333333333333,0.017222906470604
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0,0
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,-0.0315,0.00578894333017307
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",183,-0.0313296903460838,0.00598670883041945
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.216833333333333,0.0122143463533565
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,-0.031,0.00560424781064965
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,-0.0286666666666667,0.00551147222389976
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0,0
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,-0.0953333333333333,0.0136669632152364
