"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"types_mixed",300,"gnn_off","cat3","brier",1200,0.464311658297711,0.00570673731792104,NA,NA
"types_mixed",1000,"gnn_off","cat3","brier",1200,0.459326573447348,0.00562211639057018,NA,NA
"types_mixed",100,"gnn_off_rphylopars","cat3","brier",1200,0.509845388950147,0.00566673371262857,NA,NA
"types_mixed",300,"gnn_off_rphylopars","cat3","brier",1200,0.470462672740115,0.00562732236275102,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","cat3","brier",1200,0.463382027639401,0.00553154384595245,NA,NA
"types_mixed",100,"gnn_on","cat3","brier",1200,0.506988952108852,0.00556877998027643,NA,NA
"types_mixed",300,"gnn_on","cat3","brier",1200,0.469776390233113,0.00556341926379324,NA,NA
"types_mixed",1000,"gnn_on","cat3","brier",1200,0.462986293960762,0.00555784992662496,NA,NA
"types_mixed",100,"gnn_on_full","cat3","brier",1168,0.505524778221092,0.00575280059427195,NA,NA
"types_mixed",300,"gnn_on_full","cat3","brier",1171,0.469396784051951,0.00570317637471175,NA,NA
"types_mixed",1000,"gnn_on_full","cat3","brier",1184,0.462222364717057,0.00562560680773409,NA,NA
"types_mixed",100,"bace","ord","brier",597,0.587161641541039,0.00961438281160541,NA,NA
"types_mixed",300,"bace","ord","brier",599,0.521133657506779,0.00840040320460815,NA,NA
"types_mixed",1000,"bace","ord","brier",580,0.47637959007741,0.00938437491684571,NA,NA
"types_mixed",100,"floor","ord","brier",1200,0.65487380952381,0.00375589768799001,NA,NA
"types_mixed",300,"floor","ord","brier",1200,0.655579604434366,0.00345220844575359,NA,NA
"types_mixed",1000,"floor","ord","brier",1200,0.642670181405896,0.00366273307882383,NA,NA
"types_mixed",100,"freq","ord","brier",1200,0.536139974425651,0.00768633986945399,NA,NA
"types_mixed",300,"freq","ord","brier",1200,0.511944783759868,0.00806285141746265,NA,NA
"types_mixed",1000,"freq","ord","brier",1200,0.479839824113417,0.00853672362312993,NA,NA
"types_mixed",100,"freq_lambda","ord","brier",1200,0.53710902354945,0.00768400144590248,NA,NA
"types_mixed",300,"freq_lambda","ord","brier",1200,0.512097085566257,0.00806447946502018,NA,NA
"types_mixed",1000,"freq_lambda","ord","brier",1200,0.479770651521938,0.0085385094982405,NA,NA
"types_mixed",100,"gnn_off","ord","brier",1200,NA,NA,NA,NA
"types_mixed",300,"gnn_off","ord","brier",1200,NA,NA,NA,NA
"types_mixed",1000,"gnn_off","ord","brier",1200,NA,NA,NA,NA
"types_mixed",100,"gnn_off_rphylopars","ord","brier",1200,NA,NA,NA,NA
"types_mixed",300,"gnn_off_rphylopars","ord","brier",1200,NA,NA,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","ord","brier",1200,NA,NA,NA,NA
"types_mixed",100,"gnn_on","ord","brier",1200,0.465863095238095,0.0295531064787015,NA,NA
"types_mixed",300,"gnn_on","ord","brier",1200,0.482976516277009,0.0331570044000289,NA,NA
"types_mixed",1000,"gnn_on","ord","brier",1200,0.535366581632653,0.0411298469730924,NA,NA
"types_mixed",100,"gnn_on_full","ord","brier",1168,NA,NA,NA,NA
"types_mixed",300,"gnn_on_full","ord","brier",1171,NA,NA,NA,NA
"types_mixed",1000,"gnn_on_full","ord","brier",1184,NA,NA,NA,NA
"types_mixed",100,"bace","c1","interval_score",597,5.71598284949806,0.161474910069999,NA,NA
"types_mixed",300,"bace","c1","interval_score",599,5.03767004249015,0.131956095566154,NA,NA
"types_mixed",1000,"bace","c1","interval_score",580,4.31358239934751,0.113734941844303,NA,NA
"types_mixed",100,"floor","c1","interval_score",1200,NA,NA,NA,NA
"types_mixed",300,"floor","c1","interval_score",1200,NA,NA,NA,NA
"types_mixed",1000,"floor","c1","interval_score",1200,NA,NA,NA,NA
"types_mixed",100,"freq","c1","interval_score",1200,6.8491323966553,0.148737883234797,NA,NA
"types_mixed",300,"freq","c1","interval_score",1200,6.67075661724779,0.21958092177398,NA,NA
"types_mixed",1000,"freq","c1","interval_score",1200,6.28732701405486,0.135496094697713,NA,NA
"types_mixed",100,"freq_lambda","c1","interval_score",1200,2.87409152757384,0.0477745415575311,NA,NA
"types_mixed",300,"freq_lambda","c1","interval_score",1200,2.62930997881116,0.0450125914275099,NA,NA
"types_mixed",1000,"freq_lambda","c1","interval_score",1200,2.4374206371571,0.0454630400240451,NA,NA
"types_mixed",100,"gnn_off","c1","interval_score",1200,4.51968883431708,0.0839183318377793,NA,NA
"types_mixed",300,"gnn_off","c1","interval_score",1200,3.59798754575181,0.0549860567686855,NA,NA
"types_mixed",1000,"gnn_off","c1","interval_score",1200,3.08452922134081,0.0535027053986335,NA,NA
"types_mixed",100,"gnn_off_rphylopars","c1","interval_score",1200,4.70105250863839,0.0995959913463468,NA,NA
"types_mixed",300,"gnn_off_rphylopars","c1","interval_score",1200,3.82798931183101,0.213964460286843,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","c1","interval_score",1200,2.9898056196796,0.0524335013791741,NA,NA
"types_mixed",100,"gnn_on","c1","interval_score",1200,4.58514034983872,0.0847175094245196,NA,NA
"types_mixed",300,"gnn_on","c1","interval_score",1200,3.64533456705602,0.054208683296143,NA,NA
"types_mixed",1000,"gnn_on","c1","interval_score",1200,3.14351900888142,0.052927620951564,NA,NA
"types_mixed",100,"gnn_on_full","c1","interval_score",1168,4.56120597759297,0.084834828747785,NA,NA
"types_mixed",300,"gnn_on_full","c1","interval_score",1171,3.62950803971282,0.0551663061536398,NA,NA
"types_mixed",1000,"gnn_on_full","c1","interval_score",1184,3.13381537492562,0.0538631660829349,NA,NA
"types_mixed",100,"bace","c2","interval_score",597,5.2688961766668,0.142421044937508,NA,NA
"types_mixed",300,"bace","c2","interval_score",599,4.35556909623306,0.101388868498704,NA,NA
