"dgp","n","lambda","rho","evo","miss","frac","arm","trait","metric","reps","mean","mcse"
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.77365,0.00758556614836217
"types_mixed",100,1,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.9205,0.0067939174523632
"types_mixed",300,1,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.967666666666667,0.00244575113544684
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.98405,0.00119763341454925
"types_mixed",100,0.3,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.615333333333333,0.00882499369288776
"types_mixed",300,0.3,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.628333333333333,0.00700285319356854
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.637816666666667,0.00657578750381775
"types_mixed",100,0.7,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.727666666666667,0.0109669571222094
"types_mixed",300,0.7,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.767833333333333,0.00812512938521729
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.773283333333333,0.00698856358188315
"types_mixed",100,1,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",185,0.916936936936937,0.00812858102076123
"types_mixed",300,1,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",186,0.968996415770609,0.00251060914641178
"types_mixed",1000,1,0,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",191,0.986125654450262,0.000979250856104043
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.599166666666667,0.00944713316081254
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.621388888888889,0.00653553212049493
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.640183333333333,0.0067096685781647
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.739333333333333,0.00999653764739522
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.754277777777778,0.00801704922990602
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",200,0.772883333333333,0.00761007727311201
"types_mixed",100,1,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",183,0.915664845173042,0.00720847410364256
"types_mixed",300,1,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",185,0.96972972972973,0.00239453110565661
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"gnn_on_full","bin","accuracy",193,0.985993091537133,0.00105686511239422
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.495333333333333,0.0112318690410315
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.530222222222222,0.00935116675825087
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.532766666666667,0.00726445383785247
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.605,0.0140095766508094
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.670777777777778,0.0109524644881363
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.669533333333333,0.0106040904375026
"types_mixed",100,1,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.761333333333333,0.0200488740654104
"types_mixed",300,1,0,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.765777777777778,0.0201445580085236
"types_mixed",1000,1,0,"BM","mcar",0.3,"bace","cat3","accuracy",93,0.826810035842294,0.0196301654372155
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.516666666666667,0.0117062819476142
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.558222222222222,0.00695794647002158
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",97,0.579553264604811,0.00576453225807602
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",97,0.650515463917526,0.0144264255787249
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",99,0.685521885521886,0.00907141913160272
