"job_id","cell_id","rep","missing_mechanism","g6_mar_label","family","n_species","phylo_lambda","miss_frac","seed","candidate_sha","driver_sha","hostname","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","gate_open_frac","floor_fired","error"
209,209,1,"MNAR",FALSE,"F3",100,1,0.3,50901,"6fddd79","HEAD","totoro","fixed_1",TRUE,67.493,0.49873101895538,0.463122415717208,0.0356086032381724,0,0,TRUE,NA
210,210,1,"MNAR",FALSE,"F1",300,1,0.3,51001,"6fddd79","HEAD","totoro","fixed_1",TRUE,75.372,0.650713089837409,0.645621755246739,0.00509133459067057,0.0138888888888889,0.25,FALSE,NA
211,211,1,"MNAR",FALSE,"F2",300,1,0.3,51101,"6fddd79","HEAD","totoro","fixed_1",TRUE,78.618,0.616560083945587,0.624932651202503,-0.00837256725691582,0.45,0.5,FALSE,NA
212,212,1,"MNAR",FALSE,"F3",300,1,0.3,51201,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.84,0.564519169596474,0.559010790234174,0.00550837936229986,0,0,TRUE,NA
213,213,1,"MNAR",FALSE,"F1",1000,1,0.3,51301,"6fddd79","HEAD","totoro","fixed_1",TRUE,408.917,0.491663837538304,0.49166384000992,-2.47161624500336e-09,0,0,FALSE,NA
214,214,1,"MNAR",FALSE,"F2",1000,1,0.3,51401,"6fddd79","HEAD","totoro","fixed_1",TRUE,359.354,0.49587699592725,0.533581196419845,-0.0377042004925955,0.5,0.5,FALSE,NA
215,215,1,"MNAR",FALSE,"F3",1000,1,0.3,51501,"6fddd79","HEAD","totoro","fixed_1",TRUE,347.683,0.477889746001509,0.477363868834203,0.000525877167306454,0.120175438596491,0.666666666666667,FALSE,NA
216,216,1,"MNAR",FALSE,"F1",100,0.2,0.5,51601,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.163,0.888332246620863,0.864337787250914,0.023994459369949,0,0,TRUE,NA
217,217,1,"MNAR",FALSE,"F2",100,0.2,0.5,51701,"6fddd79","HEAD","totoro","fixed_1",TRUE,69.039,0.780216232449165,0.870333450545,-0.0901172180958358,0.35,0.5,TRUE,NA
218,218,1,"MNAR",FALSE,"F3",100,0.2,0.5,51801,"6fddd79","HEAD","totoro","fixed_1",TRUE,67.365,0.823750050949577,0.807104458627714,0.016645592321863,0,0,TRUE,NA
219,219,1,"MNAR",FALSE,"F1",300,0.2,0.5,51901,"6fddd79","HEAD","totoro","fixed_1",TRUE,75.147,0.935232675812055,0.93718357164379,-0.00195089583173536,0.222222222222222,0.25,TRUE,NA
220,220,1,"MNAR",FALSE,"F2",300,0.2,0.5,52001,"6fddd79","HEAD","totoro","fixed_1",TRUE,78.673,0.845794668145739,0.875965231993501,-0.0301705638477621,0.25,0.25,TRUE,NA
221,221,1,"MNAR",FALSE,"F3",300,0.2,0.5,52101,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.653,0.647493752990601,0.637200910484367,0.0102928425062339,0,0,TRUE,NA
222,222,1,"MNAR",FALSE,"F1",1000,0.2,0.5,52201,"6fddd79","HEAD","totoro","fixed_1",TRUE,263.541,0.99020787036307,0.984146711603593,0.00606115875947633,0,0,TRUE,NA
223,223,1,"MNAR",FALSE,"F2",1000,0.2,0.5,52301,"6fddd79","HEAD","totoro","fixed_1",TRUE,258.597,1.02429103784794,1.0663249019049,-0.0420338640569531,0.675,0.75,TRUE,NA
224,224,1,"MNAR",FALSE,"F3",1000,0.2,0.5,52401,"6fddd79","HEAD","totoro","fixed_1",TRUE,242.852,0.66398514378176,0.665360427081893,-0.00137528330013337,0.0583333333333333,0.166666666666667,TRUE,NA
225,225,1,"MNAR",FALSE,"F1",100,0.5,0.5,52501,"6fddd79","HEAD","totoro","fixed_1",TRUE,64.114,1.11596457663334,1.11283439370471,0.00313018292863765,0.15,0.25,TRUE,NA
226,226,1,"MNAR",FALSE,"F2",100,0.5,0.5,52601,"6fddd79","HEAD","totoro","fixed_1",TRUE,65.541,0.77243370947942,0.773442687823207,-0.0010089783437871,0.25,0.25,FALSE,NA
227,227,1,"MNAR",FALSE,"F3",100,0.5,0.5,52701,"6fddd79","HEAD","totoro","fixed_1",TRUE,65.285,0.606536941236831,0.588041188093023,0.0184957531438078,0.108333333333333,0.166666666666667,TRUE,NA
228,228,1,"MNAR",FALSE,"F1",300,0.5,0.5,52801,"6fddd79","HEAD","totoro","fixed_1",TRUE,83.171,0.84839286362375,0.845816376124831,0.00257648749891903,0.4375,0.5,FALSE,NA
229,229,1,"MNAR",FALSE,"F2",300,0.5,0.5,52901,"6fddd79","HEAD","totoro","fixed_1",TRUE,75.623,0.927572089606677,0.908063112704785,0.0195089769018926,0.367647058823529,0.5,TRUE,NA
230,230,1,"MNAR",FALSE,"F3",300,0.5,0.5,53001,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.875,0.581709613109981,0.598858969694693,-0.0171493565847118,0,0,TRUE,NA
231,231,1,"MNAR",FALSE,"F1",1000,0.5,0.5,53101,"6fddd79","HEAD","totoro","fixed_1",TRUE,248.309,0.869648705988278,0.871743829597208,-0.00209512360893049,0,0,FALSE,NA
232,232,1,"MNAR",FALSE,"F2",1000,0.5,0.5,53201,"6fddd79","HEAD","totoro","fixed_1",TRUE,250.579,0.859010827039653,0.826854008362643,0.0321568186770103,0,0,FALSE,NA
233,233,1,"MNAR",FALSE,"F3",1000,0.5,0.5,53301,"6fddd79","HEAD","totoro","fixed_1",TRUE,246.445,0.70768393478254,0.722244797236365,-0.0145608624538245,0,0,TRUE,NA
234,234,1,"MNAR",FALSE,"F1",100,1,0.5,53401,"6fddd79","HEAD","totoro","fixed_1",TRUE,69.825,0.721989886903951,0.708143540529822,0.0138463463741296,0.447368421052632,0.5,FALSE,NA
235,235,1,"MNAR",FALSE,"F2",100,1,0.5,53501,"6fddd79","HEAD","totoro","fixed_1",TRUE,70.27,0.689611887380902,0.644239463218146,0.0453724241627564,0.583333333333333,0.75,FALSE,NA
236,236,1,"MNAR",FALSE,"F3",100,1,0.5,53601,"6fddd79","HEAD","totoro","fixed_1",TRUE,64.953,0.71038125031669,0.522908476114465,0.187472774202225,0,0,TRUE,NA
237,237,1,"MNAR",FALSE,"F1",300,1,0.5,53701,"6fddd79","HEAD","totoro","fixed_1",TRUE,82.064,0.478914686868021,0.46572097121439,0.0131937156536308,0.25,0.25,FALSE,NA
