"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"MNAR","F3",1000,0.5,0.1,30,0,-3.17284325752994e-05,0.00201214203226338,0.0833041891220426,0.161111111111111
"MNAR","F1",100,1,0.1,30,0,0.0149158400899723,0.00769079389667246,0.243035811546841,0.308333333333333
"MNAR","F2",100,1,0.1,30,0,-0.0508616017462036,0.00875133879566522,0.473888714842662,0.558333333333333
"MNAR","F3",100,1,0.1,30,0,0.0113447191448943,0.00867757411274159,0.0697235599892979,0.116666666666667
"MNAR","F1",300,1,0.1,30,0,-0.0029150363535288,0.00127899856989709,0.222120026373122,0.333333333333333
"MNAR","F2",300,1,0.1,30,0,-0.0268557769835316,0.0024478591438373,0.444136136910905,0.55
"MNAR","F3",300,1,0.1,30,0,0.0122294399165716,0.00450671340901727,0.106089743589744,0.155555555555556
"MNAR","F1",1000,1,0.1,30,0,0.000173246208772204,0.000516173472817993,0.130109649122807,0.233333333333333
"MNAR","F2",1000,1,0.1,30,0,-0.0217354368820318,0.00218565567249245,0.356296992481203,0.491666666666667
"MNAR","F3",1000,1,0.1,30,0,-0.00135304833699822,0.00132650759077849,0.0761842105263158,0.194444444444444
"MNAR","F1",100,0.2,0.3,30,0,0.00810805618767789,0.00553933152229381,0.177900541795666,0.2
"MNAR","F2",100,0.2,0.3,30,0,-0.0373444531509194,0.00850018500029427,0.259852941176471,0.283333333333333
"MNAR","F3",100,0.2,0.3,30,0,-0.0272989683624488,0.00884059791585095,0.0678632478632478,0.0777777777777778
"MNAR","F1",300,0.2,0.3,30,0,0.000589417414727689,0.00291904422968799,0.227702850877193,0.241666666666667
"MNAR","F2",300,0.2,0.3,30,0,-0.0324922075162959,0.00566734312678919,0.403265107212476,0.425
"MNAR","F3",300,0.2,0.3,30,0,-0.00731639739412125,0.00695744863743926,0.0625,0.0666666666666667
"MNAR","F1",1000,0.2,0.3,30,0,0.000803756902817735,0.00134963931725628,0.191990740740741,0.216666666666667
"MNAR","F2",1000,0.2,0.3,30,0,-0.027796267542102,0.00318053256571983,0.523872549019608,0.558333333333333
"MNAR","F3",1000,0.2,0.3,30,0,-0.00240156926671161,0.00312969773819762,0.0743230625583567,0.133333333333333
"MNAR","F1",100,0.5,0.3,30,0,0.00448225900064026,0.00776025217067343,0.263301994774518,0.316666666666667
"MNAR","F2",100,0.5,0.3,30,0,-0.0212544563366389,0.0129250250607527,0.296551796157059,0.325
"MNAR","F3",100,0.5,0.3,30,0,-0.0266944142456341,0.0114166476191872,0.0505555555555556,0.0722222222222222
"MNAR","F1",300,0.5,0.3,30,0,-0.00254881776854351,0.00300917574520738,0.23385660331384,0.283333333333333
"MNAR","F2",300,0.5,0.3,30,0,-0.0365852641579302,0.00503577128077587,0.536056501547988,0.616666666666667
"MNAR","F3",300,0.5,0.3,30,0,-0.0083170892668881,0.0050651806637609,0.0597319688109162,0.1
"MNAR","F1",1000,0.5,0.3,30,0,-0.00194600143558457,0.000936186844581389,0.123671310629515,0.183333333333333
"MNAR","F2",1000,0.5,0.3,30,0,-0.0227970949772817,0.00188750485933574,0.519269568151147,0.6
"MNAR","F3",1000,0.5,0.3,30,0,0.000400124513126669,0.00217357784055134,0.0754093567251462,0.205555555555556
"MNAR","F1",100,1,0.3,30,0,0.00136449062434937,0.00897730013427759,0.27210751237067,0.341666666666667
"MNAR","F2",100,1,0.3,30,0,-0.00966203889753555,0.0119331211580776,0.323571838091962,0.425
"MNAR","F3",100,1,0.3,30,0,0.0322429973676781,0.013010695281633,0.0651321204245181,0.105555555555556
"MNAR","F1",300,1,0.3,30,0,0.000487664677245527,0.00204845000801764,0.244544346978557,0.316666666666667
"MNAR","F2",300,1,0.3,30,0,-0.021952718894392,0.00425569629429465,0.441779745130171,0.566666666666667
"MNAR","F3",300,1,0.3,30,0,0.00486593759448136,0.00641778998707025,0.0544641560327835,0.116666666666667
"MNAR","F1",1000,1,0.3,30,0,-0.000155006071662407,0.000544608887314378,0.12609649122807,0.225
"MNAR","F2",1000,1,0.3,30,0,-0.014025280207865,0.00192924024547294,0.37270783167068,0.5
