"job_id","cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","r_cal_bm_mean","r_cal_mean_mean","floor_fired","error"
50,50,1,"F3",300,1,0.3,15001,"fixed_1",TRUE,76.58,0.529021785554372,0.570332656715419,-0.0413108711610473,0,0.38640350877193,0.61359649122807,TRUE,NA
51,51,1,"F1",1000,1,0.3,15101,"fixed_1",TRUE,331.241,0.54877673853703,0.548776739945667,-1.40863698483429e-09,0,1,0,FALSE,NA
52,52,1,"F2",1000,1,0.3,15201,"fixed_1",TRUE,351.064,0.495934430859877,0.513350788122152,-0.0174163572622751,0.225,0.75,0.025,FALSE,NA
53,53,1,"F3",1000,1,0.3,15301,"fixed_1",TRUE,321.014,0.386402566503381,0.386402564228679,2.27470253744144e-09,0,1,0,FALSE,NA
54,54,1,"F1",100,0.2,0.5,15401,"fixed_1",TRUE,60.38,0.819545293053964,0.79365162426573,0.0258936687882335,0,0,1,TRUE,NA
55,55,1,"F2",100,0.2,0.5,15501,"fixed_1",TRUE,61.194,1.04407446152661,1.06919606982113,-0.0251216082945234,0,0.25,0.75,TRUE,NA
56,56,1,"F3",100,0.2,0.5,15601,"fixed_1",TRUE,62.208,0.537494776370289,0.717208286017665,-0.179713509647376,0,0,1,TRUE,NA
57,57,1,"F1",300,0.2,0.5,15701,"fixed_1",TRUE,73.891,0.958469950176766,0.970347338540444,-0.0118773883636778,0,0.6875,0.3125,TRUE,NA
58,58,1,"F2",300,0.2,0.5,15801,"fixed_1",TRUE,74.602,0.891758081203207,0.892240106381297,-0.000482025178090373,0.191176470588235,0.25,0.558823529411765,TRUE,NA
59,59,1,"F3",300,0.2,0.5,15901,"fixed_1",TRUE,76.551,0.733657661030769,0.729472796173853,0.00418486485691649,0,0.141666666666667,0.858333333333333,TRUE,NA
60,60,1,"F1",1000,0.2,0.5,16001,"fixed_1",TRUE,252.726,0.941616173756075,0.929842791094357,0.0117733826617186,0.25,0.25,0.5,TRUE,NA
61,61,1,"F2",1000,0.2,0.5,16101,"fixed_1",TRUE,249.07,0.944924164614673,0.958540061904577,-0.0136158972899044,0.75,0.25,0,FALSE,NA
62,62,1,"F3",1000,0.2,0.5,16201,"fixed_1",TRUE,248.219,0.711839246440164,0.728772624322803,-0.0169333778826398,0.239912280701754,0.681140350877193,0.0789473684210526,FALSE,NA
63,63,1,"F1",100,0.5,0.5,16301,"fixed_1",TRUE,60.191,0.715482277104244,0.715482278766209,-1.66196434392418e-09,0,1,0,FALSE,NA
64,64,1,"F2",100,0.5,0.5,16401,"fixed_1",TRUE,62.15,1.01911952374132,0.925933193146872,0.0931863305944454,0.5,0,0.5,TRUE,NA
65,65,1,"F3",100,0.5,0.5,16501,"fixed_1",TRUE,63.381,0.79880304303955,0.783743538104294,0.0150595049352564,0,0,1,TRUE,NA
66,66,1,"F1",300,0.5,0.5,16601,"fixed_1",TRUE,72.59,0.738967104578697,0.740186433899696,-0.00121932932099911,0.166666666666667,0.75,0.0833333333333333,FALSE,NA
67,67,1,"F2",300,0.5,0.5,16701,"fixed_1",TRUE,72.686,0.73595122351956,0.732859142993567,0.00309208052599286,0.375,0.625,0,FALSE,NA
68,68,1,"F3",300,0.5,0.5,16801,"fixed_1",TRUE,76.059,0.543616376419977,0.561504592414115,-0.017888215994138,0.149122807017544,0.833333333333333,0.0175438596491228,FALSE,NA
69,69,1,"F1",1000,0.5,0.5,16901,"fixed_1",TRUE,238.334,0.878895967542795,0.87934618211157,-0.000450214568774809,0.1375,0.8625,0,FALSE,NA
70,70,1,"F2",1000,0.5,0.5,17001,"fixed_1",TRUE,265.69,0.818719058587701,0.822600959116573,-0.00388190052887183,0.25,0.75,0,FALSE,NA
71,71,1,"F3",1000,0.5,0.5,17101,"fixed_1",TRUE,261.364,0.619232221518321,0.619759728937907,-0.00052750741958596,0.0833333333333333,0.916666666666667,0,FALSE,NA
72,72,1,"F1",100,1,0.5,17201,"fixed_1",TRUE,62.61,0.548694880926777,0.540288662720959,0.00840621820581888,0,0.95,0.05,FALSE,NA
73,73,1,"F2",100,1,0.5,17301,"fixed_1",TRUE,61.508,0.788206627766667,0.704421151342023,0.0837854764246441,0.458333333333333,0.3875,0.154166666666667,FALSE,NA
74,74,1,"F3",100,1,0.5,17401,"fixed_1",TRUE,61.872,0.646885776860782,0.540991642160433,0.105894134700349,0.166666666666667,0.166666666666667,0.666666666666667,TRUE,NA
75,75,1,"F1",300,1,0.5,17501,"fixed_1",TRUE,75.763,0.513170331716072,0.51317033732834,-5.61226876083509e-09,0,1,0,FALSE,NA
76,76,1,"F2",300,1,0.5,17601,"fixed_1",TRUE,75.465,0.615524767648403,0.695872005155815,-0.0803472375074116,0.176470588235294,0.613636363636364,0.209893048128342,FALSE,NA
77,77,1,"F3",300,1,0.5,17701,"fixed_1",TRUE,75.619,0.52171065468416,0.483162326982867,0.0385483277012933,0.037037037037037,0.777777777777778,0.185185185185185,TRUE,NA
78,78,1,"F1",1000,1,0.5,17801,"fixed_1",TRUE,230.298,0.519090267972753,0.519090269902724,-1.92997173797949e-09,0,1,0,FALSE,NA
79,79,1,"F2",1000,1,0.5,17901,"fixed_1",TRUE,258.861,0.63968175909341,0.634152440993871,0.00552931809953872,0.2625,0.7,0.0375,FALSE,NA
80,80,1,"F3",1000,1,0.5,18001,"fixed_1",TRUE,237.52,0.386805975670725,0.388967676725144,-0.00216170105441904,0.1,0.9,0,FALSE,NA
81,0,2,"F1",100,0.2,0.1,10002,"fixed_1",TRUE,60.354,0.788975550367135,0.740421271627908,0.0485542787392265,0,0.5,0.5,TRUE,NA
82,1,2,"F2",100,0.2,0.1,10102,"fixed_1",TRUE,63.464,0.633597973841021,0.660780203378531,-0.0271822295375093,0.5,0.5,0,FALSE,NA
